# N(H) (cm^-2)	Tdust[K]	PEheating	H2 vib deexc.	H2 form	dust-gas coll.	OI cooling	CII  cooling	CO  cooling	CI  cooling
2.4725993714201345e-6	9.833298702938061e-6
4.427819851785068e20	84.56878276981413	3.9104075110679616e-17	-1.0210010202507214e-17	4.737674808330945e-18	-1.1373638928040952e-18	-3.224826818751598e-17	-5.207748738263933e-19	-2.7340203812760654e-21	-1.1336165282861677e-23
5.444570621712124e20	80.08646913802625	3.8243258766867127e-17	-1.1618633750350375e-17	4.9048001658750786e-18	-9.348537758985774e-19	-3.033685356717159e-17	-5.176317334522087e-19	-4.2697463922244726e-21	-2.276276679116785e-23
6.46132482591252e20	76.20844868997298	3.668392805215697e-17	-1.1645545731121097e-17	4.70942339355245e-18	-8.126094637985698e-19	-2.863579267089584e-17	-5.14717050199355e-19	-6.1559585559695855e-21	-3.973136706331917e-23
7.478080709388796e20	74.42170466591418	3.659108226591834e-17	-1.2553109196914134e-17	4.40988648396312e-18	-7.470168235301167e-19	-2.7299509035478883e-17	-5.125276349721567e-19	-8.202106105663269e-21	-5.04125400223682e-23
8.494837158524352e20	72.63495636984705	3.618880120382373e-17	-1.29305078505089e-17	4.1144084889109614e-18	-7.038123340218611e-19	-2.6208176971856672e-17	-5.107113526664744e-19	-1.093195679464604e-20	-5.940345526950728e-23
9.511593971691679e20	70.84821185538172	3.554238115730492e-17	-1.2938952334813803e-17	3.871282050442283e-18	-6.739930276017975e-19	-2.5287855499992156e-17	-5.091199391276403e-19	-1.4724068256812943e-20	-6.79293623793431e-23
1.0528351048112511e21	69.06146891021729	3.46854369160563e-17	-1.2670887822568088e-17	3.672379764319058e-18	-6.51736257249782e-19	-2.4486790809411222e-17	-5.076523851363421e-19	-2.0017538608961747e-20	-7.665188827047468e-23
1.1545108334231705e21	67.27472439575195	3.363189563351061e-17	-1.2160717738840035e-17	3.5003790985984786e-18	-6.33399075770647e-19	-2.3762921116861327e-17	-5.062192370639977e-19	-2.738814858663962e-20	-8.614889244801249e-23
1.2561865801046475e21	65.48797988128662	3.237765993934921e-17	-1.1418557392505017e-17	3.338301080773386e-18	-6.165681310433388e-19	-2.308415970644707e-17	-5.047406022867231e-19	-3.759894853162078e-20	-9.69017184391538e-23
1.357862343349473e21	63.70123536682129	3.090317646084057e-17	-1.0434137606278703e-17	3.1690703409917607e-18	-5.993739428978839e-19	-2.242349588156908e-17	-5.0313519547185295e-19	-5.1567680823136727e-20	-1.0933868850068218e-22
1.4595381225134238e21	61.9144894247055	2.91735127115198e-17	-9.180015374058535e-18	2.973219576649652e-18	-5.800416481214491e-19	-2.1754189981655517e-17	-5.013125773445374e-19	-7.012006862615455e-20	-1.2376365268588472e-22
1.5612139183076255e21	60.12774491024017	2.7135983486125865e-17	-7.616969400210341e-18	2.726794612500764e-18	-5.564827930481517e-19	-2.1044882416397715e-17	-4.991775685722578e-19	-9.311724429185922e-20	-1.3990896548228574e-22
1.6628897274665674e21	58.34100039577484	2.471951886586504e-17	-5.67982513696681e-18	2.3796467969152955e-18	-5.250555558932833e-19	-2.0237718791251454e-17	-4.966291987843778e-19	-1.1669156245820715e-19	-1.5586763087165766e-22
1.7645655586448026e21	56.5542558813095	2.1828246594100344e-17	-3.3316267738277e-18	1.8435886649516837e-18	-4.784142728597374e-19	-1.921722899395908e-17	-4.936960528843068e-19	-1.2502051493207336e-19	-1.618902626765121e-22
1.8662414113551588e21	54.767511366844175	1.8368490358894636e-17	-7.42766967255554e-19	9.04294751988638e-19	-3.9141605825980373e-19	-1.7577597234445586e-17	-4.904888150669181e-19	-7.261431311000347e-20	-1.1413716906522034e-22
1.9679172922795843e21	52.98076685237884	1.4154409265012647e-17	2.364474281718051e-19	6.501843258422914e-20	-2.0258990599881422e-19	-1.3783173928205615e-17	-4.769274971552259e-19	-1.794038987570782e-21	-1.7523277262148768e-23
2.069593193572717e21	51.97834324417263	1.2642006737874019e-17	1.6926956570684524e-19	4.282849809645621e-20	-1.590855621211487e-19	-1.2232213691371242e-17	-4.684551013514615e-19	-9.044586774433625e-22	-1.8421758026655937e-23
2.1712690951978437e21	51.14949775406718	1.1936937617666273e-17	1.2234474291269474e-19	3.4514233450421067e-20	-1.4505523233472985e-19	-1.148834016526782e-17	-4.642641677197122e-19	-9.723700999383317e-22	-1.9798280060262918e-23
