# N(H) (cm^-2)	Tgas[K]	H (cm^-3)	H2(cm^-3)	C(cm^-3)	CO(cm^-3)	AV (perpendicular) for comparison
1.1940679753105893e20	397.54716352432735	0.9998578030268725	3.484294564231163e-8	8.906260867386687e-12	2.056054247253845e-18	0.0957770273861081
1.2633291143699507e20	398.68100145153585	0.9998575971954724	3.5963632743148954e-8	9.096442086128977e-12	2.159871777913151e-18	0.10133251178870756
1.3325902393634559e20	399.69554813124074	0.9998574120498048	3.710578319308672e-8	9.268030438955652e-12	2.2635757379478316e-18	0.10688799506307486
1.4018513517333837e20	400.71823691522815	0.9998572257068594	3.826412122250042e-8	9.446535095440178e-12	2.3721781577842296e-18	0.1124434773248962
1.4711124513522064e20	401.75348882227934	0.9998570373524867	3.944488933775263e-8	9.632359411490708e-12	2.486023923758178e-18	0.11799895856394245
1.5403735380831057e20	402.80179969309694	0.9998568469096712	4.064882320771785e-8	9.825965644741076e-12	2.6054725041857465e-18	0.12355443876923937
1.6096346117840585e20	403.8636839381736	0.9998566542994061	4.18766471180205e-8	1.0027856001401257e-11	2.730912243893221e-18	0.1291099179293952
1.6788956723077176e20	404.93967484174084	0.9998564594407191	4.312907435061837e-8	1.0238577067651437e-11	2.8627638210108088e-18	0.13466539603259103
1.7481567195012514e20	406.0303283093674	0.9998562622500723	4.440681217592896e-8	1.0458724822119167e-11	3.001484123545155e-18	0.14022087306656822
1.817417753206168e20	407.1362251820881	0.9998560626410485	4.5710563994635606e-8	1.0688950356422953e-11	3.147570605005399e-18	0.14577634901861397
1.886678773258109e20	408.10904320583774	0.9998558856081865	4.7048743742613664e-8	1.0891825266343476e-11	3.2920538044464157e-18	0.15133182387554503
1.955939781276595e20	408.9784410285613	0.9998557261197858	4.8413165643474394e-8	1.1073926767905394e-11	3.436183820051266e-18	0.15688729776726423
2.025200778467607e20	409.8536224263241	0.9998555657310232	4.980061118796297e-8	1.126250057581548e-11	3.586862166993959e-18	0.16244277079050418
2.0944617647341945e20	410.73806925169254	0.9998554037961368	5.121741817431098e-8	1.145787716305382e-11	3.744502000738118e-18	0.16799824293748838
2.1637227399729768e20	411.6320838374217	0.9998552402686808	5.266436390494035e-8	1.1660433084684036e-11	3.9095265983065426e-18	0.17355371419992463
2.2329837040774473e20	412.5359814078518	0.9998550751006129	5.414224204373657e-8	1.18705733086503e-11	4.082391122983198e-18	0.1791091845692699
2.3022446569379194e20	413.4500863758045	0.9998549082430525	5.565185502416462e-8	1.2088733984698343e-11	4.263585733538265e-18	0.18466465403672624
2.3715055984414215e20	414.3747373204271	0.9998547396454003	5.7194023247310724e-8	1.2315385481695321e-11	4.453639120840945e-18	0.1902201225932321
2.4407665284715993e20	415.31028630297584	0.9998545692555412	5.876958306828259e-8	1.2551035830741712e-11	4.653122407915476e-18	0.19577559022945457
2.510027446908634e20	416.2570983326573	0.9998543970200242	6.037938443868847e-8	1.279623459029114e-11	4.862653511820968e-18	0.20133105693578288
2.5792883536291135e20	417.2155555002282	0.9998542228833673	6.202429838826104e-8	1.3051577165398633e-11	5.082902092331742e-18	0.20688652270231817
2.6485492485059147e20	418.1860566144451	0.9998540467882259	6.370521482635745e-8	1.331770971352129e-11	5.31459507038418e-18	0.21244198751886367
2.717810131408073e20	419.16901875142673	0.9998538686752076	6.542304412526761e-8	1.3595334680524488e-11	5.55852287504174e-18	0.2179974513749147
2.7870710022006417e20	420.0981979715199	0.999853699438342	6.718373381177879e-8	1.386174138381294e-11	5.807242714112424e-18	0.22355291425964716
2.856331861526971e20	420.82687150512567	0.9998535631372067	6.899522111622857e-8	1.4063674920173044e-11	6.041349418118118e-18	0.22910837622466448
2.9255927117242394e20	421.5558488059052	0.9998534268280983	7.083307964628257e-8	1.4271848738576476e-11	6.285540468513968e-18	0.2346638374574334
2.9948535527247046e20	422.2912767515568	0.999853289344241	7.271251793258505e-8	1.448651253936976e-11	6.540462210571099e-18	0.24021929795252037
3.06411438445247e20	423.0333298036256	0.9998531506578373	7.463465991442068e-8	1.4707975336849482e-11	6.806705243280298e-18	0.24577475770383758
3.133375206829892e20	423.7821858911523	0.9998530107408622	7.660066145850104e-8	1.4936566153078193e-11	7.08490034916987e-18	0.2513302167051572
3.202636019777552e20	424.5380283091323	0.9998528695647283	7.86117162420402e-8	1.517263565412773e-11	7.375721914437903e-18	0.256885674950109
3.271896823214202e20	425.3010476455898	0.9998527270999478	8.06690623293853e-8	1.54165579521926e-11	7.679891702018983e-18	0.2624411324321761
3.3411576170567284e20	426.0714405008563	0.9998525833164131	8.277398015770947e-8	1.5668732615067875e-11	7.998182932433715e-18	0.26799658914469177
3.4104184012201204e20	426.8494097800865	0.9998524381833818	8.492779461644641e-8	1.5929586873315723e-11	8.331424817790733e-18	0.27355204508083736
3.4796791756174216e20	427.6351652482422	0.9998522916694108	8.713187795790992e-8	1.6199578059811092e-11	8.680507577739193e-18	0.2791075002336379
3.5489399401596944e20	428.42892386723696	0.999852143742341	8.938765215897035e-8	1.6479196314544787e-11	9.046387983729614e-18	0.28466295459595975
3.618200694755958e20	429.2309123169854	0.9998519943688577	9.16965981968979e-8	1.6768967571946463e-11	9.430095576607976e-18	0.29021840816050526
3.6874614393131414e20	430.04136437770427	0.9998518435150564	9.406024969869058e-8	1.7069456919655652e-11	9.832739396893145e-18	0.2957738609198092
3.756722173736037e20	430.86052339277853	0.9998516911460285	9.648020206280436e-8	1.7381272303937018e-11	1.0255515631989959e-17	0.3013293128662347
3.8259828979272443e20	431.6886421220303	0.9998515372259588	9.895811362831217e-8	1.7705068685832295e-11	1.06997160319977e-17	0.3068847639919694
3.8952436117871126e20	432.52598374187056	0.9998513817180114	1.0149571035534401e-7	1.8041552682379216e-11	1.116673731262905e-17	0.31244021428902014
3.964504315213682e20	433.372822073768	0.9998512245843751	1.0409478752245686e-7	1.839148777498487e-11	1.1658091545351342e-17	0.3179956637492087
4.033765008102624e20	434.22944264825327	0.9998510657861691	1.067572125939877e-7	1.8755700153455508e-11	1.217541753530221e-17	0.3235511123641667
4.103025690347184e20	435.09614297645845	0.9998509052835794	1.0948491721946782e-7	1.9135085290098772e-11	1.2720492050519047e-17	0.3291065601253315
