# N(H) (cm^-2)	Tdust[K]	PEheating	H2 vib deexc.	H2 form	dust-gas coll.	OI cooling	CII  cooling	CO  cooling	CI  cooling
2.472646557100754e-6	0.00001006653777797383
1.0228594723911675e12	116.55594260674715	1.3606969878292266e-21	2.8128671366534084e-25	1.0266470648913066e-22	-1.718292119296243e-24	-7.920203486453088e-22	-6.949982703620614e-22	0.	-3.1701232671886515e-30
2.046718807412929e12	116.55594570714236	1.3606969906750575e-21	2.8128672560256684e-25	1.0266470782109472e-22	-1.7182921489408253e-24	-7.920203533394049e-22	-6.949982700768061e-22	0.	-3.170123313020337e-30
4.094437477455318e12	116.55594496059419	1.3606970082948814e-21	2.812867372073897e-25	1.0266470705952652e-22	-1.718292092294993e-24	-7.920203721806642e-22	-6.949982680383124e-22	0.	-3.17012341479174e-30
8.189874817540676e12	116.5559469410777	1.3606970117524752e-21	2.8128676745918503e-25	1.0266470676329156e-22	-1.7182921471849556e-24	-7.920203752897428e-22	-6.9499826799423945e-22	0.	-3.170123590878646e-30
1.6380749497707697e13	116.55594395488501	1.3606970334643498e-21	2.8128682137615403e-25	1.0266470550930688e-22	-1.7182921770114757e-24	-7.920203973225517e-22	-6.94998266166205e-22	0.	-3.170123955762742e-30
3.276249885801821e13	116.5559345087409	1.3606970685144735e-21	2.812869321871762e-25	1.0266470526696444e-22	-1.7182923155011697e-24	-7.920204344178889e-22	-6.949982637838632e-22	0.	-3.170124678324496e-30
6.552599757855154e13	116.55592256379128	1.3606971364179186e-21	2.8128714920585978e-25	1.0266470600430205e-22	-1.718292624233356e-24	-7.920205071388644e-22	-6.949982597430662e-22	0.	-3.170126121442519e-30
1.3105299501928173e14	116.55590214747191	1.3606972769403182e-21	2.8128755992957914e-25	1.0266470505384688e-22	-1.718293176572596e-24	-7.920206540764485e-22	-6.949982519648901e-22	0.	-3.170129011290759e-30
2.6210698989940606e14	116.5558543676734	1.360697559274916e-21	2.81288346834704e-25	1.0266470189620233e-22	-1.718294252491057e-24	-7.920209460700609e-22	-6.9499823803805765e-22	0.	-3.1701347914030006e-30
5.242149796543161e14	116.55575880807638	1.3606981235891943e-21	2.812898675068546e-25	1.0266469820994511e-22	-1.7182964519097735e-24	-7.920215291780777e-22	-6.949982138166457e-22	0.	-3.170146350274039e-30
1.0484309591428978e15	116.55556074136496	1.3606992552287204e-21	2.812927895481617e-25	1.0266469098719256e-22	-1.718300837868382e-24	-7.920226916895542e-22	-6.949981721684926e-22	0.	-3.170169468399922e-30
2.0968629180355135e15	116.55518197637797	1.3607015234836705e-21	2.812984041045828e-25	1.0266467943031342e-22	-1.7183096350601784e-24	-7.920250112394467e-22	-6.949981025976248e-22	0.	-3.1702157052124025e-30
4.193726835485049e15	116.55441749924421	1.3607060757341205e-21	2.8130914279985983e-25	1.0266465048245151e-22	-1.7183270469751624e-24	-7.920296319317025e-22	-6.949979901780248e-22	0.	-3.170308186393391e-30
8.38745466904904e15	116.5527615761459	1.3607148660397734e-21	2.8132967356449376e-25	1.0266460722925674e-22	-1.7183608852164356e-24	-7.920385534654912e-22	-6.9499778921696665e-22	0.	-3.17048675823038e-30
1.6774910331009566e16	116.54936737322808	1.3607322192734941e-21	2.813689658960506e-25	1.0266457839866791e-22	-1.718428603729164e-24	-7.920561489539469e-22	-6.949974760016477e-22	0.	-3.170839134348161e-30
3.3549821634600704e16	116.54300055193902	1.3607646685195813e-21	2.8144376183609335e-25	1.0266463137813543e-22	-1.7185577710408216e-24	-7.920892151228872e-22	-6.949968565547722e-22	0.	-3.171499622783637e-30
6.709964416549258e16	116.53194832818954	1.3608263426893172e-21	2.8158513440555386e-25	1.0266470323200374e-22	-1.718802434977288e-24	-7.9215198176732e-22	-6.949957237382339e-22	0.	-3.172754702965489e-30
1.3419928893873032e17	116.50985076990725	1.360942815667879e-21	2.81850401301818e-25	1.0266448637492068e-22	-1.7192565448282303e-24	-7.922700826672447e-22	-6.949935959952351e-22	0.	-3.175122783073123e-30
2.6839857739565878e17	116.46917947691679	1.3611574131056282e-21	2.8234908554315303e-25	1.0266470379823819e-22	-1.7201085562924784e-24	-7.924887694183036e-22	-6.949893360638846e-22	0.	-3.1795014008977326e-30
5.367971502804676e17	116.39632112264633	1.3615472055732783e-21	2.832784661766673e-25	1.0266524609197754e-22	-1.7216647163171023e-24	-7.928873795538498e-22	-6.949804070355188e-22	0.	-3.187486865585277e-30
