     200   number of z grid-points
          13          12   important heating & cooling processes
      32   number of CO lines
        N<H>       Tdust        Tgas           H          H2          e-           O          C+           C          CO          CH         CH4          OH         H2O
 4.15436E+18 1.05142E+02 3.47902E+03 3.15952E+05 1.15232E+00 7.57894E+01 9.34369E+01 2.84363E+01 1.84604E-03 1.74121E-03 1.04935E-08 1.75332E-25 1.19885E+00 1.85467E-06
 4.45302E+18 1.05109E+02 3.47597E+03 3.15952E+05 1.15625E+00 7.56714E+01 9.34349E+01 2.84363E+01 1.85349E-03 1.74896E-03 1.06278E-08 1.79147E-25 1.20083E+00 1.86849E-06
 4.77315E+18 1.05066E+02 3.47119E+03 3.15952E+05 1.16027E+00 7.55410E+01 9.34330E+01 2.84362E+01 1.86137E-03 1.75691E-03 1.08102E-08 1.83786E-25 1.20269E+00 1.88446E-06
 5.11630E+18 1.05020E+02 3.46642E+03 3.15952E+05 1.16463E+00 7.54033E+01 9.34309E+01 2.84362E+01 1.86985E-03 1.76550E-03 1.10004E-08 1.88781E-25 1.20474E+00 1.90148E-06
 5.48412E+18 1.04970E+02 3.46165E+03 3.15953E+05 1.16935E+00 7.52578E+01 9.34286E+01 2.84362E+01 1.87898E-03 1.77480E-03 1.11992E-08 1.94171E-25 1.20699E+00 1.91962E-06
 5.87838E+18 1.04916E+02 3.45603E+03 3.15953E+05 1.17436E+00 7.51015E+01 9.34263E+01 2.84362E+01 1.88873E-03 1.78464E-03 1.14294E-08 2.00291E-25 1.20930E+00 1.93963E-06
 6.30098E+18 1.04860E+02 3.45041E+03 3.15953E+05 1.17980E+00 7.49366E+01 9.34237E+01 2.84362E+01 1.89924E-03 1.79529E-03 1.16705E-08 2.06918E-25 1.21184E+00 1.96097E-06
 6.75397E+18 1.04816E+02 3.44481E+03 3.15953E+05 1.18569E+00 7.47626E+01 9.34208E+01 2.84361E+01 1.91055E-03 1.80681E-03 1.19232E-08 2.14113E-25 1.21461E+00 1.98375E-06
 7.23952E+18 1.04762E+02 3.43921E+03 3.15953E+05 1.19208E+00 7.45790E+01 9.34177E+01 2.84361E+01 1.92273E-03 1.81928E-03 1.21887E-08 2.21941E-25 1.21765E+00 2.00809E-06
 7.75998E+18 1.04697E+02 3.43276E+03 3.15953E+05 1.19889E+00 7.43829E+01 9.34145E+01 2.84361E+01 1.93578E-03 1.83254E-03 1.24923E-08 2.30822E-25 1.22081E+00 2.03485E-06
 8.31786E+18 1.04624E+02 3.42632E+03 3.15954E+05 1.20628E+00 7.41762E+01 9.34109E+01 2.84361E+01 1.94984E-03 1.84688E-03 1.28120E-08 2.40533E-25 1.22427E+00 2.06348E-06
 8.91584E+18 1.04548E+02 3.41894E+03 3.15954E+05 1.21416E+00 7.39556E+01 9.34072E+01 2.84360E+01 1.96490E-03 1.86215E-03 1.31781E-08 2.51601E-25 1.22787E+00 2.09500E-06
 9.55681E+18 1.04465E+02 3.41050E+03 3.15954E+05 1.22258E+00 7.37205E+01 9.34034E+01 2.84360E+01 1.98105E-03 1.87840E-03 1.35980E-08 2.64267E-25 1.23162E+00 2.12975E-06
 1.02439E+19 1.04380E+02 3.40315E+03 3.15954E+05 1.23186E+00 7.34764E+01 9.33990E+01 2.84359E+01 1.99855E-03 1.89629E-03 1.40084E-08 2.77716E-25 1.23591E+00 2.16601E-06
 1.09803E+19 1.04289E+02 3.39369E+03 3.15954E+05 1.24165E+00 7.32137E+01 9.33946E+01 2.84359E+01 2.01725E-03 1.91508E-03 1.45140E-08 2.93706E-25 1.24021E+00 2.20702E-06
 1.17697E+19 1.04194E+02 3.38531E+03 3.15955E+05 1.25244E+00 7.29410E+01 9.33896E+01 2.84359E+01 2.03751E-03 1.93574E-03 1.50149E-08 3.10878E-25 1.24510E+00 2.25001E-06
 1.26158E+19 1.04114E+02 3.37696E+03 3.15955E+05 1.26416E+00 7.26547E+01 9.33841E+01 2.84358E+01 2.05935E-03 1.95812E-03 1.55478E-08 3.30007E-25 1.25043E+00 2.29626E-06
 1.35228E+19 1.04006E+02 3.36757E+03 3.15955E+05 1.27674E+00 7.23513E+01 9.33783E+01 2.84358E+01 2.08284E-03 1.98206E-03 1.61554E-08 3.52075E-25 1.25602E+00 2.34723E-06
 1.44950E+19 1.03892E+02 3.35716E+03 3.15955E+05 1.29029E+00 7.20305E+01 9.33722E+01 2.84357E+01 2.10812E-03 2.00771E-03 1.68460E-08 3.77593E-25 1.26193E+00 2.40340E-06
 1.55370E+19 1.03767E+02 3.34573E+03 3.15956E+05 1.30489E+00 7.16918E+01 9.33658E+01 2.84357E+01 2.13535E-03 2.03522E-03 1.76291E-08 4.07191E-25 1.26817E+00 2.46531E-06
 1.66540E+19 1.03636E+02 3.33435E+03 3.15956E+05 1.32080E+00 7.13376E+01 9.33588E+01 2.84356E+01 2.16477E-03 2.06508E-03 1.84710E-08 4.40768E-25 1.27496E+00 2.53226E-06
 1.78513E+19 1.03496E+02 3.32300E+03 3.15956E+05 1.33813E+00 7.09675E+01 9.33512E+01 2.84355E+01 2.19659E-03 2.09749E-03 1.93776E-08 4.79033E-25 1.28236E+00 2.60475E-06
 1.91346E+19 1.03352E+02 3.31065E+03 3.15957E+05 1.35690E+00 7.05784E+01 9.33431E+01 2.84355E+01 2.23092E-03 2.13236E-03 2.04061E-08 5.23890E-25 1.29021E+00 2.68480E-06
 2.05103E+19 1.03214E+02 3.29835E+03 3.15957E+05 1.37738E+00 7.01725E+01 9.33343E+01 2.84354E+01 2.26807E-03 2.17024E-03 2.15196E-08 5.75559E-25 1.29873E+00 2.77175E-06
 2.19848E+19 1.03058E+02 3.28507E+03 3.15957E+05 1.39961E+00 6.97470E+01 9.33250E+01 2.84353E+01 2.30823E-03 2.21108E-03 2.27839E-08 6.36690E-25 1.30779E+00 2.86796E-06
 2.35653E+19 1.02885E+02 3.27184E+03 3.15958E+05 1.42393E+00 6.93040E+01 9.33148E+01 2.84352E+01 2.35175E-03 2.25550E-03 2.41607E-08 7.07971E-25 1.31763E+00 2.97286E-06
 2.52594E+19 1.02701E+02 3.25764E+03 3.15958E+05 1.45042E+00 6.88411E+01 9.33040E+01 2.84351E+01 2.39887E-03 2.30350E-03 2.57266E-08 7.93217E-25 1.32810E+00 3.08921E-06
 2.70754E+19 1.02506E+02 3.24249E+03 3.15958E+05 1.47932E+00 6.83580E+01 9.32925E+01 2.84350E+01 2.44994E-03 2.35541E-03 2.75099E-08 8.95845E-25 1.33927E+00 3.21847E-06
 2.90218E+19 1.02300E+02 3.22741E+03 3.15959E+05 1.51106E+00 6.78571E+01 9.32800E+01 2.84349E+01 2.50542E-03 2.41200E-03 2.94713E-08 1.01814E-24 1.35138E+00 3.36029E-06
 3.11083E+19 1.02082E+02 3.21139E+03 3.15959E+05 1.54583E+00 6.73361E+01 9.32666E+01 2.84348E+01 2.56567E-03 2.47336E-03 3.17123E-08 1.16740E-24 1.36430E+00 3.51839E-06
 3.33447E+19 1.01870E+02 3.19646E+03 3.15960E+05 1.58427E+00 6.67995E+01 9.32519E+01 2.84346E+01 2.63129E-03 2.54074E-03 3.41093E-08 1.34526E-24 1.37853E+00 3.69038E-06
 3.57419E+19 1.01638E+02 3.18059E+03 3.15960E+05 1.62656E+00 6.62429E+01 9.32361E+01 2.84345E+01 2.70270E-03 2.61397E-03 3.68574E-08 1.56546E-24 1.39372E+00 3.88284E-06
 3.83114E+19 1.01383E+02 3.16382E+03 3.15961E+05 1.67320E+00 6.56668E+01 9.32193E+01 2.84343E+01 2.78052E-03 2.69367E-03 4.00159E-08 1.84068E-24 1.40995E+00 4.09873E-06
 4.10657E+19 1.01116E+02 3.14614E+03 3.15961E+05 1.72479E+00 6.50717E+01 9.32013E+01 2.84341E+01 2.86542E-03 2.78052E-03 4.36563E-08 2.18815E-24 1.42730E+00 4.34156E-06
 4.40179E+19 1.00830E+02 3.12857E+03 3.15961E+05 1.78216E+00 6.44600E+01 9.31818E+01 2.84339E+01 2.95823E-03 2.87576E-03 4.77468E-08 2.62584E-24 1.44610E+00 4.61239E-06
 4.71824E+19 1.00533E+02 3.11109E+03 3.15962E+05 1.84612E+00 6.38322E+01 9.31607E+01 2.84337E+01 3.05983E-03 2.98034E-03 5.23571E-08 3.18299E-24 1.46645E+00 4.91536E-06
