      heat_1      heat_2      heat_3      heat_4      heat_5      heat_6      heat_7      heat_8      heat_9     heat_10     heat_11     heat_12     heat_13      cool_1      cool_2      cool_3      cool_4      cool_5      cool_6      cool_7      cool_8      cool_9     cool_10     cool_11     cool_12
 2.13640E-17 1.42602E-18 1.92717E-18 1.06931E-18 0.00000E+00 4.12387E-20 3.47551E-22 1.60806E-19 4.57821E-29 4.34364E-17 1.00885E-25 6.87052E-19 8.66907E-28 2.81638E-19 2.00386E-17 3.72591E-17 9.76971E-26 2.08126E-19 7.46923E-19 1.18930E-23 8.95165E-23 4.32058E-18 6.84009E-18 1.12407E-26 1.83101E-24
 2.13596E-17 1.43029E-18 1.92697E-18 1.06989E-18 0.00000E+00 4.12458E-20 3.47551E-22 1.56372E-19 4.57677E-29 4.34341E-17 1.00371E-25 6.87485E-19 8.62681E-28 2.81528E-19 2.00290E-17 3.72544E-17 9.77892E-26 2.08226E-19 7.47359E-19 1.19086E-23 8.95292E-23 4.32183E-18 6.83671E-18 1.12483E-26 1.83126E-24
 2.13534E-17 1.43177E-18 1.92697E-18 1.07012E-18 0.00000E+00 4.12552E-20 3.47551E-22 1.47880E-19 4.54037E-29 4.34266E-17 9.80054E-26 6.87676E-19 8.39901E-28 2.81139E-19 2.00259E-17 3.72465E-17 9.79217E-26 2.08311E-19 7.47782E-19 1.19196E-23 8.95068E-23 4.32483E-18 6.83434E-18 1.12423E-26 1.82893E-24
 2.13481E-17 1.43606E-18 1.92677E-18 1.07072E-18 0.00000E+00 4.12637E-20 3.47551E-22 1.39835E-19 4.49993E-29 4.34229E-17 9.56211E-26 6.88121E-19 8.15914E-28 2.80746E-19 2.00163E-17 3.72387E-17 9.80348E-26 2.08422E-19 7.48257E-19 1.19343E-23 8.94711E-23 4.32728E-18 6.83072E-18 1.12337E-26 1.82624E-24
 2.13410E-17 1.43755E-18 1.92678E-18 1.07088E-18 0.00000E+00 4.12747E-20 3.47551E-22 1.65658E-19 4.54402E-29 4.34140E-17 9.90032E-26 6.88283E-19 8.42627E-28 2.81266E-19 2.00131E-17 3.72583E-17 9.81870E-26 2.08511E-19 7.48697E-19 1.19539E-23 8.97085E-23 4.32462E-18 6.82809E-18 1.12764E-26 1.83092E-24
 2.13333E-17 1.43905E-18 1.92680E-18 1.07108E-18 0.00000E+00 4.12865E-20 3.47551E-22 1.82972E-19 4.74003E-29 4.34042E-17 1.08546E-25 6.88467E-19 9.41426E-28 2.82708E-19 2.00099E-17 3.72720E-17 9.83477E-26 2.08608E-19 7.49170E-19 1.19843E-23 9.00915E-23 4.32125E-18 6.82532E-18 1.13876E-26 1.84717E-24
 2.13264E-17 1.44338E-18 1.92663E-18 1.07168E-18 0.00000E+00 4.12975E-20 3.47552E-22 1.76410E-19 4.71220E-29 4.33982E-17 1.06735E-25 6.88924E-19 9.23378E-28 2.82396E-19 2.00004E-17 3.72652E-17 9.84964E-26 2.08738E-19 7.49705E-19 1.20030E-23 9.00921E-23 4.32371E-18 6.82126E-18 1.13887E-26 1.84569E-24
 2.13189E-17 1.44774E-18 1.92648E-18 1.07228E-18 0.00000E+00 4.13095E-20 3.47552E-22 1.69954E-19 4.68895E-29 4.33913E-17 1.05160E-25 6.89388E-19 9.07864E-28 2.82120E-19 1.99908E-17 3.72584E-17 9.86588E-26 2.08874E-19 7.50255E-19 1.20234E-23 9.01065E-23 4.32624E-18 6.81703E-18 1.13939E-26 1.84468E-24
 2.13108E-17 1.45211E-18 1.92633E-18 1.07289E-18 0.00000E+00 4.13225E-20 3.47552E-22 1.62003E-19 4.66215E-29 4.33834E-17 1.03233E-25 6.89859E-19 8.89398E-28 2.81785E-19 1.99813E-17 3.72503E-17 9.88360E-26 2.09017E-19 7.50826E-19 1.20447E-23 9.01138E-23 4.32923E-18 6.81263E-18 1.13979E-26 1.84342E-24
 2.13020E-17 1.45650E-18 1.92619E-18 1.07351E-18 0.00000E+00 4.13367E-20 3.47552E-22 1.53190E-19 4.62733E-29 4.33745E-17 1.00831E-25 6.90338E-19 8.65991E-28 2.81378E-19 1.99719E-17 3.72415E-17 9.90293E-26 2.09169E-19 7.51421E-19 1.20667E-23 9.01142E-23 4.33263E-18 6.80805E-18 1.13993E-26 1.84154E-24
 2.12925E-17 1.46092E-18 1.92606E-18 1.07411E-18 0.00000E+00 4.13521E-20 3.47552E-22 1.49521E-19 4.60021E-29 4.33645E-17 9.91948E-26 6.90817E-19 8.48553E-28 2.81096E-19 1.99624E-17 3.72366E-17 9.92395E-26 2.09328E-19 7.52035E-19 1.20910E-23 9.01588E-23 4.33534E-18 6.80326E-18 1.14082E-26 1.84050E-24
 2.12808E-17 1.46249E-18 1.92614E-18 1.07431E-18 0.00000E+00 4.13704E-20 3.47552E-22 1.69952E-19 4.60964E-29 4.33487E-17 1.01128E-25 6.91027E-19 8.59472E-28 2.81396E-19 1.99592E-17 3.72514E-17 9.94975E-26 2.09470E-19 7.52625E-19 1.21179E-23 9.03985E-23 4.33480E-18 6.79939E-18 1.14483E-26 1.84325E-24
 2.12696E-17 1.46695E-18 1.92604E-18 1.07490E-18 0.00000E+00 4.13884E-20 3.47552E-22 1.87189E-19 4.80306E-29 4.33362E-17 1.10734E-25 6.91507E-19 9.57863E-28 2.82813E-19 1.99496E-17 3.72642E-17 9.97406E-26 2.09645E-19 7.53282E-19 1.21613E-23 9.08177E-23 4.33199E-18 6.79416E-18 1.15696E-26 1.85983E-24
 2.12590E-17 1.47431E-18 1.92575E-18 1.07590E-18 0.00000E+00 4.14062E-20 3.47552E-22 1.77629E-19 4.78639E-29 4.33270E-17 1.08308E-25 6.92267E-19 9.36327E-28 2.82363E-19 1.99338E-17 3.72541E-17 9.99793E-26 2.09858E-19 7.54003E-19 1.21934E-23 9.08262E-23 4.33578E-18 6.78757E-18 1.15789E-26 1.85912E-24
 2.12460E-17 1.47882E-18 1.92568E-18 1.07652E-18 0.00000E+00 4.14272E-20 3.47552E-22 1.74187E-19 4.79710E-29 4.33118E-17 1.08130E-25 6.92780E-19 9.35546E-28 2.82284E-19 1.99244E-17 3.72492E-17 1.00271E-25 2.10057E-19 7.54713E-19 1.22274E-23 9.09486E-23 4.33889E-18 6.78184E-18 1.16128E-26 1.86135E-24
