     NH               Temp.Gaz         Td.01            Td.02            Td.03            Td.04            Td.05            Td.06            Td.07            Td.08            Td.09            Td.10            Td.11            Td.12            Ionisation       Pd.h2            Pd.co            FH2chi           DH2chi           FH2grain         DH2phot          FH2.ElRi         Cho.Ph.Gr        Cho.H2.Gr        Cho.photons      Cho.RC           Cho.ph.sec       Cho.eq.chi       Cho.total        Ref.C.tot        Ref.O.tot        Ref.S.tot        Ref.C+.tot       Ref.CO.tot       Ref.C*O.tot      Ref.H2O.tot      Ref.CS.tot       Ref.total        Cho.casc.H2      Ref.casc.H2      Cho.gas.gr       Ref.gas.gr    
   5.70222190E+17  1.27191821E+003  7.49436867E+001  7.58501825E+001  7.75469994E+001  8.01703761E+001  8.39044590E+001  8.90962903E+001  9.60824125E+001  1.05093699E+002  1.15184290E+002  1.22439935E+002  1.22077131E+002  1.20532027E+002  1.02498803E-004  1.55879863E-005  1.15083276E-005  3.33102456E-008  3.60671200E-008  1.60420287E-020  1.38164040E-005  1.38191615E-005  3.56422754E-017  1.57111868E-017  7.28950833E-018  1.88322197E-022  1.54800607E-033  4.17248871E-019  7.21450153E-017  1.14792138E-024  4.04760069E-017  1.80626917E-023  5.18582995E-019  9.02224082E-025  9.60945442E-027  1.10940332E-031  3.95703272E-039  7.21508619E-017  1.30846076E-017  0.00000000E+000  0.00000000E+000  2.50866347E-017
   8.14603128E+17  1.27275528E+003  7.49192957E+001  7.58255174E+001  7.75218255E+001  8.01444198E+001  8.38773999E+001  8.90676968E+001  9.60517091E+001  1.05060081E+002  1.15146563E+002  1.22397098E+002  1.22032894E+002  1.20488529E+002  1.02503545E-004  1.55491599E-005  1.14733757E-005  3.33799026E-008  3.61409532E-008  1.60891541E-020  1.38130578E-005  1.38158194E-005  3.56458758E-017  1.57089838E-017  7.28887603E-018  1.88322197E-022  1.55577743E-033  4.17274032E-019  7.21766985E-017  1.15127431E-024  4.04788857E-017  1.81157556E-023  5.18591420E-019  9.07676297E-025  9.66697753E-027  1.12464439E-031  3.98914090E-039  7.21825320E-017  1.31155005E-017  0.00000000E+000  0.00000000E+000  2.51139066E-017
   1.15202279E+18  1.27390585E+003  7.48857697E+001  7.57916146E+001  7.74872235E+001  8.01087426E+001  8.38402076E+001  8.90283959E+001  9.60095096E+001  1.05013880E+002  1.15094723E+002  1.22338257E+002  1.21972142E+002  1.20428788E+002  1.02510057E-004  1.54959226E-005  1.14255641E-005  3.34758887E-008  3.62426762E-008  1.61542006E-020  1.38084523E-005  1.38112196E-005  3.56507895E-017  1.57059476E-017  7.28800583E-018  1.88322197E-022  1.56652081E-033  4.17308761E-019  7.22202491E-017  1.15589392E-024  4.04828326E-017  1.81888631E-023  5.18603010E-019  9.15218079E-025  9.74654167E-027  1.14594486E-031  4.03372474E-039  7.22260664E-017  1.31580090E-017  0.00000000E+000  0.00000000E+000  2.51514080E-017
   1.62920624E+18  1.27541890E+003  7.48386527E+001  7.57439682E+001  7.74385948E+001  8.00586035E+001  8.37879396E+001  8.89731662E+001  9.59502094E+001  1.04948963E+002  1.15021902E+002  1.22255639E+002  1.21886865E+002  1.20344927E+002  1.02519173E-004  1.54214835E-005  1.13588086E-005  3.36122310E-008  3.63871252E-008  1.62461506E-020  1.38023814E-005  1.38051568E-005  3.56598461E-017  1.57019370E-017  7.28686257E-018  1.88322197E-022  1.58182210E-033  4.17372242E-019  7.22830204E-017  1.16244561E-024  4.04879096E-017  1.82918308E-023  5.18618178E-019  9.25867366E-025  9.85893308E-027  1.17586069E-031  4.09783521E-039  7.22833327E-017  1.32168141E-017  0.00000000E+000  0.00000000E+000  2.52008577E-017
   2.44380935E+18  1.27817717E+003  7.47590076E+001  7.56634289E+001  7.73563960E+001  7.99738528E+001  8.36995926E+001  8.88798165E+001  9.58499873E+001  1.04839266E+002  1.14898896E+002  1.22116186E+002  1.21742984E+002  1.20203427E+002  1.02534712E-004  1.52955181E-005  1.12471620E-005  3.38435263E-008  3.66321792E-008  1.64030128E-020  1.37913710E-005  1.37941602E-005  3.56707880E-017  1.56946826E-017  7.28478311E-018  1.88322196E-022  1.60795069E-033  4.17455788E-019  7.23871633E-017  1.17351914E-024  4.04972931E-017  1.84671877E-023  5.18645634E-019  9.44243018E-025  1.00527425E-026  1.22968234E-031  4.20802767E-039  7.23876997E-017  1.33192655E-017  0.00000000E+000  0.00000000E+000  2.52908615E-017
   3.15494429E+18  1.28055992E+003  7.46902771E+001  7.55939272E+001  7.72854631E+001  7.99007190E+001  8.36233577E+001  8.87992682E+001  9.57635168E+001  1.04744640E+002  1.14792835E+002  1.21996047E+002  1.21619091E+002  1.20081575E+002  1.02548178E-004  1.51871042E-005  1.11519824E-005  3.40450985E-008  3.68456137E-008  1.65398425E-020  1.37817477E-005  1.37845488E-005  3.56800187E-017  1.56882817E-017  7.28296556E-018  1.88322195E-022  1.63086705E-033  4.17530279E-019  7.24774229E-017  1.18312825E-024  4.05053640E-017  1.86192524E-023  5.18669853E-019  9.60381924E-025  1.02229355E-026  1.27836179E-031  4.30574555E-039  7.24778899E-017  1.34084384E-017  0.00000000E+000  0.00000000E+000  2.53686906E-017
   4.07301553E+18  1.28362092E+003  7.46026221E+001  7.55052893E+001  7.71950011E+001  7.98074522E+001  8.35261385E+001  8.86965533E+001  9.56532601E+001  1.04624010E+002  1.14657690E+002  1.21843098E+002  1.21461444E+002  1.19926513E+002  1.02565368E-004  1.50494633E-005  1.10321421E-005  3.43047050E-008  3.71204693E-008  1.67163421E-020  1.37694654E-005  1.37722816E-005  3.56911360E-017  1.56801408E-017  7.28064677E-018  1.88322194E-022  1.66060313E-033  4.17625214E-019  7.25931653E-017  1.19547006E-024  4.05156527E-017  1.88147193E-023  5.18700315E-019  9.81356437E-025  1.04440771E-026  1.34334327E-031  4.43413321E-039  7.25937423E-017  1.35234281E-017  0.00000000E+000  0.00000000E+000  2.54687622E-017
   5.70222168E+18  1.28899304E+003  7.44499653E+001  7.53509227E+001  7.70374610E+001  7.96450323E+001  8.33568431E+001  8.85177007E+001  9.54613025E+001  1.04414057E+002  1.14422641E+002  1.21577445E+002  1.21187841E+002  1.19657364E+002  1.02595285E-004  1.48117702E-005  1.08274630E-005  3.47628532E-008  3.76053329E-008  1.70291618E-020  1.37479821E-005  1.37508250E-005  3.57090715E-017  1.56659108E-017  7.27659249E-018  1.88322193E-022  1.71372507E-033  4.17790754E-019  7.27961783E-017  1.21718789E-024  4.05335093E-017  1.91589289E-023  5.18752889E-019  1.01892621E-024  1.08400710E-026  1.46480324E-031  4.66791753E-039  7.27970745E-017  1.37266245E-017  0.00000000E+000  0.00000000E+000  2.56446491E-017
   8.14603082E+18  1.29689360E+003  7.42276118E+001  7.51260829E+001  7.68080063E+001  7.94084814E+001  8.31102953E+001  8.82572638E+001  9.51818440E+001  1.04108550E+002  1.14080985E+002  1.21192105E+002  1.20791427E+002  1.19267331E+002  1.02638742E-004  1.44703525E-005  1.05381392E-005  3.54431663E-008  3.83246532E-008  1.74974920E-020  1.37162936E-005  1.37191753E-005  3.57324580E-017  1.56448180E-017  7.27061350E-018  1.88322191E-022  1.79416492E-033  4.18032504E-019  7.30950668E-017  1.24931614E-024  4.05593512E-017  1.96684346E-023  5.18829729E-019  1.07607096E-024  1.14421177E-026  1.66272166E-031  5.03262198E-039  7.30961972E-017  1.40289565E-017  0.00000000E+000  0.00000000E+000  2.59039387E-017
   1.15202270E+19  1.30751680E+003  7.39328191E+001  7.48280016E+001  7.65038202E+001  7.90949089E+001  8.27835013E+001  8.79121131E+001  9.48115946E+001  1.03704054E+002  1.13629281E+002  1.20684059E+002  1.20269567E+002  1.18753740E+002  1.02696005E-004  1.40265367E-005  1.01697299E-005  3.63691006E-008  3.93024506E-008  1.81425291E-020  1.36735865E-005  1.36765200E-005  3.57581980E-017  1.56162347E-017  7.26255725E-018  1.88322189E-022  1.90670118E-033  4.18350808E-019  7.34973137E-017  1.29284969E-024  4.05933139E-017  2.03594389E-023  5.18931772E-019  1.15651465E-024  1.22890958E-026  1.96919188E-031  5.56455628E-039  7.34985662E-017  1.44417846E-017  0.00000000E+000  0.00000000E+000  2.62537380E-017
   1.62920607E+19  1.32204461E+003  7.35378797E+001  7.44286701E+001  7.60963347E+001  7.86748866E+001  8.23458239E+001  8.74499442E+001  9.43160089E+001  1.03163078E+002  1.13026283E+002  1.20008219E+002  1.19576621E+002  1.18071550E+002  1.02771858E-004  1.34474192E-005  9.70105110E-006  3.76538346E-008  4.06569287E-008  1.90522233E-020  1.36151317E-005  1.36181346E-005  3.57831499E-017  1.55768836E-017  7.25153184E-018  1.88322187E-022  2.06882394E-033  4.18766749E-019  7.40479061E-017  1.35295301E-024  4.06383292E-017  2.13146458E-023  5.19068378E-019  1.27337525E-024  1.35184492E-026  2.47521712E-031  6.37551185E-039  7.40491447E-017  1.50173856E-017  0.00000000E+000  0.00000000E+000  2.67342316E-017
   2.44380898E+19  1.34569085E+003  7.29150835E+001  7.37989801E+001  7.54538436E+001  7.80127160E+001  8.16559467E+001  8.67216765E+001  9.35355066E+001  1.02312059E+002  1.12080051E+002  1.18952606E+002  1.18496754E+002  1.17007968E+002  1.02889008E-004  1.25681051E-005  9.01273146E-006  3.97840169E-008  4.28952836E-008  2.06014577E-020  1.35177906E-005  1.35209033E-005  3.58006410E-017  1.55098090E-017  7.23315399E-018  1.88322184E-022  2.35367981E-033  4.19382541E-019  7.49416253E-017  1.45208452E-024  4.07081591E-017  2.28905143E-023  5.19282574E-019  1.48153599E-024  1.57054547E-026  3.57751843E-031  7.92527725E-039  7.49461840E-017  1.59784503E-017  0.00000000E+000  0.00000000E+000  2.75215456E-017
   3.15494369E+19  1.36547647E+003  7.24158643E+001  7.32942630E+001  7.49389161E+001  7.74820940E+001  8.11032344E+001  8.61383899E+001  9.29107310E+001  1.01631595E+002  1.11325263E+002  1.18114227E+002  1.17640798E+002  1.16164555E+002  1.02980450E-004  1.18896732E-005  8.49892090E-006  4.16093795E-008  4.48117988E-008  2.19545498E-020  1.34396032E-005  1.34428050E-005  3.57930335E-017  1.54569443E-017  7.21841121E-018  1.88322184E-022  2.61401635E-033  4.19843720E-019  7.56972867E-017  1.53664778E-024  4.07638865E-017  2.42375678E-023  5.19461346E-019  1.67384409E-024  1.77230304E-026  4.81738241E-031  9.48533040E-039  7.56981103E-017  1.68088657E-017  0.00000000E+000  0.00000000E+000  2.81851814E-017
