     NH               Temp.Gaz         Ab..h            Ab..h2           Ab..c            Ab..co        
   1.12258000E+21  5.51673966E+001  1.20676413E+001  4.93966039E+002  5.01233330E-003  1.74192123E-005
   1.16935418E+21  5.34075918E+001  1.11430447E+001  4.94428341E+002  5.64599315E-003  2.01111113E-005
   1.23951545E+21  5.09637408E+001  9.98236073E+000  4.95008689E+002  6.71650131E-003  2.50847771E-005
   1.27459609E+21  4.98245961E+001  9.47102334E+000  4.95264361E+002  7.30891321E-003  2.80788328E-005
   1.30967672E+21  4.87354444E+001  9.01916252E+000  4.95490294E+002  7.94152478E-003  3.14383596E-005
   1.35645091E+21  4.73567790E+001  8.48592757E+000  4.95756915E+002  8.84973992E-003  3.65607468E-005
   1.40322509E+21  4.60577057E+001  8.01922703E+000  4.95990269E+002  9.83436579E-003  4.25055398E-005
   1.46169282E+21  4.45359833E+001  7.51860944E+000  4.96240583E+002  1.11763115E-002  5.12363043E-005
   1.52016055E+21  4.31172147E+001  7.10291118E+000  4.96448436E+002  1.26451504E-002  6.15764597E-005
   1.57862828E+21  4.17918358E+001  6.74242286E+000  4.96628684E+002  1.42429784E-002  7.38002107E-005
   1.62735138E+21  4.07517566E+001  6.48341418E+000  4.96758192E+002  1.56736104E-002  8.55851538E-005
   1.67607449E+21  3.97642220E+001  6.25668506E+000  4.96871559E+002  1.71938791E-002  9.89977167E-005
   1.72479760E+21  3.88244462E+001  6.05739038E+000  4.96971209E+002  1.88024436E-002  1.14238864E-004
   1.79788227E+21  3.74938309E+001  5.79933627E+000  4.97100240E+002  2.13757263E-002  1.40992126E-004
   1.83442460E+21  3.68606412E+001  5.68308207E+000  4.97158369E+002  2.27315412E-002  1.56367037E-004
   1.87096693E+21  3.62457868E+001  5.58033988E+000  4.97209742E+002  2.41314293E-002  1.73157266E-004
   1.96783944E+21  3.46940514E+001  5.35290788E+000  4.97323462E+002  2.80393186E-002  2.25656972E-004
   2.06471195E+21  3.32334409E+001  5.15964598E+000  4.97420096E+002  3.21943163E-002  2.92705451E-004
   2.16158446E+21  3.18374115E+001  4.99754650E+000  4.97501150E+002  3.65404381E-002  3.78523873E-004
   2.25845697E+21  3.04829788E+001  4.85951086E+000  4.97570170E+002  4.10129467E-002  4.89160514E-004
   2.35532949E+21  2.91507503E+001  4.74063291E+000  4.97629612E+002  4.55407651E-002  6.32792734E-004
   2.45220200E+21  2.78257038E+001  4.63782336E+000  4.97681020E+002  5.00483069E-002  8.20161745E-004
   2.54907451E+21  2.64982026E+001  4.54932060E+000  4.97725274E+002  5.44600672E-002  1.06028803E-003
   2.59751077E+21  2.58325363E+001  4.51264792E+000  4.97743612E+002  5.66077979E-002  1.20151957E-003
   2.64594703E+21  2.51654155E+001  4.47724896E+000  4.97761313E+002  5.87058916E-002  1.35659819E-003
   2.74558225E+21  2.37935747E+001  4.41017372E+000  4.97794853E+002  6.28232511E-002  1.73242626E-003
   2.84521746E+21  2.24341035E+001  4.35960367E+000  4.97820141E+002  6.66261537E-002  2.18049090E-003
   2.94485268E+21  2.11036072E+001  4.32261525E+000  4.97838638E+002  7.00706263E-002  2.69204580E-003
   3.04448790E+21  1.98328780E+001  4.30304423E+000  4.97848426E+002  7.31298301E-002  3.25191384E-003
   3.14412312E+21  1.86329111E+001  4.29167157E+000  4.97854114E+002  7.57845294E-002  3.86050530E-003
   3.24375834E+21  1.75203333E+001  4.29258653E+000  4.97853659E+002  7.80474018E-002  4.49852853E-003
   3.34339356E+21  1.65013356E+001  4.30634867E+000  4.97846779E+002  7.99443726E-002  5.14822926E-003
   3.44302878E+21  1.55745576E+001  4.33131987E+000  4.97834294E+002  8.14870861E-002  5.82295434E-003
   3.54266400E+21  1.47352329E+001  4.36756869E+000  4.97816170E+002  8.26983837E-002  6.52708281E-003
   3.64229922E+21  1.39754527E+001  4.40941593E+000  4.97795246E+002  8.35909936E-002  7.27959702E-003
   3.74193444E+21  1.32862191E+001  4.46605843E+000  4.97766924E+002  8.41587796E-002  8.12025637E-003
   3.83548282E+21  1.26950843E+001  4.52923013E+000  4.97735337E+002  8.43785614E-002  9.03532823E-003
   3.92903120E+21  1.21502525E+001  4.59861731E+000  4.97700641E+002  8.42600514E-002  1.01314976E-002
   4.02257958E+21  1.16448971E+001  4.67487714E+000  4.97662508E+002  8.37550286E-002  1.14787939E-002
   4.11612795E+21  1.11709096E+001  4.75940015E+000  4.97620243E+002  8.28039240E-002  1.31561160E-002
   4.20967633E+21  1.07292182E+001  4.84785038E+000  4.97576013E+002  8.13163766E-002  1.52699968E-002
   4.30322471E+21  1.03090193E+001  4.94214230E+000  4.97528861E+002  7.91865672E-002  1.79417593E-002
   4.39677308E+21  9.91031478E+000  5.04131508E+000  4.97479267E+002  7.62924552E-002  2.13055971E-002
   4.49032145E+21  9.53388074E+000  5.14388565E+000  4.97427973E+002  7.25252600E-002  2.54801428E-002
   4.58386982E+21  9.18232310E+000  5.24784559E+000  4.97375982E+002  6.78400892E-002  3.05174073E-002
   4.67741819E+21  8.86262313E+000  5.34998038E+000  4.97324901E+002  6.23191607E-002  3.63394372E-002
