     120   number of z grid-points
      38   number of CO lines
        N<H>       Tdust        Tgas           H          H2          e-           O          C+           C          CO          CH         CH4          OH         H2O
 3.38181E+20 2.00000E+01 1.16015E+04 6.69783E+02 3.91112E-03 3.63780E+02 2.12098E-01 4.57988E-02 8.30247E-03 2.18500E-11 1.48665E-09 7.01892E-30 1.20094E-07 5.93605E-15
 4.02513E+20 2.00000E+01 1.15971E+04 6.70181E+02 3.91619E-03 3.63343E+02 2.12219E-01 4.58440E-02 8.32602E-03 2.20079E-11 1.49305E-09 7.08482E-30 1.20444E-07 5.96780E-15
 4.79082E+20 2.00000E+01 1.15935E+04 6.70642E+02 3.92056E-03 3.62836E+02 2.12359E-01 4.58957E-02 8.35481E-03 2.21926E-11 1.50068E-09 7.16017E-30 1.20808E-07 6.00054E-15
 5.70217E+20 2.00000E+01 1.15892E+04 6.71190E+02 3.92580E-03 3.62232E+02 2.12525E-01 4.59571E-02 8.38914E-03 2.24144E-11 1.50980E-09 7.25093E-30 1.21244E-07 6.03986E-15
 6.78689E+20 2.00000E+01 1.15848E+04 6.71834E+02 3.93117E-03 3.61522E+02 2.12720E-01 4.60289E-02 8.43050E-03 2.26785E-11 1.52070E-09 7.35823E-30 1.21736E-07 6.08412E-15
 8.07794E+20 2.00000E+01 1.15805E+04 6.72594E+02 3.93666E-03 3.60686E+02 2.12949E-01 4.61131E-02 8.48029E-03 2.29940E-11 1.53376E-09 7.48572E-30 1.22294E-07 6.13432E-15
 9.61460E+20 2.00000E+01 1.15732E+04 6.73510E+02 3.94546E-03 3.59676E+02 2.13227E-01 4.62156E-02 8.53887E-03 2.33809E-11 1.54943E-09 7.64566E-30 1.23034E-07 6.20180E-15
 1.14436E+21 2.00000E+01 1.15660E+04 6.74588E+02 3.95445E-03 3.58489E+02 2.13552E-01 4.63352E-02 8.60957E-03 2.38447E-11 1.56824E-09 7.83642E-30 1.23870E-07 6.27813E-15
 1.36205E+21 2.00000E+01 1.15559E+04 6.75876E+02 3.96683E-03 3.57070E+02 2.13941E-01 4.64789E-02 8.69355E-03 2.44123E-11 1.59087E-09 8.07356E-30 1.24925E-07 6.37557E-15
 1.62114E+21 2.00000E+01 1.15436E+04 6.77404E+02 3.98189E-03 3.55387E+02 2.14402E-01 4.66491E-02 8.79410E-03 2.51044E-11 1.61815E-09 8.36528E-30 1.26198E-07 6.49428E-15
 1.92953E+21 2.00000E+01 1.15306E+04 6.79201E+02 3.99810E-03 3.53407E+02 2.14943E-01 4.68480E-02 8.91555E-03 2.59453E-11 1.65108E-09 8.72038E-30 1.27668E-07 6.63213E-15
 2.29658E+21 2.00000E+01 1.15148E+04 6.81328E+02 4.01794E-03 3.51063E+02 2.15582E-01 4.70830E-02 9.06136E-03 2.69803E-11 1.69096E-09 9.16270E-30 1.29450E-07 6.80132E-15
 2.73346E+21 2.00000E+01 1.14961E+04 6.83838E+02 4.04153E-03 3.48296E+02 2.16335E-01 4.73593E-02 9.23702E-03 2.82594E-11 1.73940E-09 9.71596E-30 1.31592E-07 7.00733E-15
 3.25344E+21 2.00000E+01 1.14745E+04 6.86793E+02 4.06899E-03 3.45039E+02 2.17219E-01 4.76824E-02 9.44931E-03 2.98488E-11 1.79845E-09 1.04124E-29 1.34149E-07 7.25715E-15
 3.87234E+21 2.00000E+01 1.14471E+04 6.90282E+02 4.10401E-03 3.41192E+02 2.18262E-01 4.80626E-02 9.70518E-03 3.18516E-11 1.87079E-09 1.13094E-29 1.37316E-07 7.57310E-15
 4.60896E+21 2.00000E+01 1.14162E+04 6.94367E+02 4.14415E-03 3.36687E+02 2.19478E-01 4.85028E-02 1.00163E-02 3.43813E-11 1.95975E-09 1.24631E-29 1.41093E-07 7.95808E-15
 5.48572E+21 2.00000E+01 1.13809E+04 6.99139E+02 4.19074E-03 3.31423E+02 2.20893E-01 4.90101E-02 1.03954E-02 3.76136E-11 2.06978E-09 1.39709E-29 1.45631E-07 8.43266E-15
 6.52926E+21 2.00000E+01 1.13386E+04 7.04709E+02 4.24733E-03 3.25276E+02 2.22538E-01 4.95928E-02 1.08577E-02 4.18078E-11 2.20680E-09 1.59876E-29 1.51196E-07 9.03336E-15
 7.77131E+21 2.00000E+01 1.12867E+04 7.11193E+02 4.31782E-03 3.18119E+02 2.24444E-01 5.02570E-02 1.14229E-02 4.73400E-11 2.37872E-09 1.87499E-29 1.58113E-07 9.80940E-15
 9.24963E+21 2.00000E+01 1.12281E+04 7.18672E+02 4.39966E-03 3.09859E+02 2.26631E-01 5.09972E-02 1.21191E-02 5.47207E-11 2.59594E-09 2.25846E-29 1.66524E-07 1.07946E-14
 1.10092E+22 2.00000E+01 1.11610E+04 7.27253E+02 4.49596E-03 3.00378E+02 2.29122E-01 5.18066E-02 1.29792E-02 6.47555E-11 2.87279E-09 2.80556E-29 1.76850E-07 1.20674E-14
 1.31034E+22 2.00000E+01 1.10812E+04 7.37047E+02 4.61387E-03 2.89551E+02 2.31946E-01 5.26708E-02 1.40435E-02 7.87180E-11 3.22913E-09 3.61398E-29 1.89795E-07 1.37630E-14
 1.55961E+22 2.00000E+01 1.09891E+04 7.48113E+02 4.75534E-03 2.77313E+02 2.35110E-01 5.35518E-02 1.53657E-02 9.85485E-11 3.69190E-09 4.84544E-29 2.06001E-07 1.60417E-14
 1.85629E+22 2.00000E+01 1.08840E+04 7.60474E+02 4.92402E-03 2.63634E+02 2.38612E-01 5.43888E-02 1.70112E-02 1.27353E-10 4.29816E-09 6.78802E-29 2.26376E-07 1.91523E-14
 2.20941E+22 2.00000E+01 1.07654E+04 7.74100E+02 5.12440E-03 2.48548E+02 2.42432E-01 5.50888E-02 1.90586E-02 1.70157E-10 5.09835E-09 9.96926E-29 2.52132E-07 2.34764E-14
 2.62970E+22 2.00000E+01 1.06292E+04 7.88904E+02 5.36867E-03 2.32151E+02 2.46536E-01 5.55266E-02 2.15933E-02 2.35362E-10 6.16136E-09 1.54147E-28 2.85266E-07 2.96869E-14
 3.12994E+22 2.00000E+01 1.04791E+04 8.04667E+02 5.65739E-03 2.14685E+02 2.50776E-01 5.55301E-02 2.47092E-02 3.36304E-10 7.57443E-09 2.50644E-28 3.27568E-07 3.86838E-14
 3.72534E+22 2.00000E+01 1.03110E+04 8.21113E+02 6.00752E-03 1.96461E+02 2.55098E-01 5.49168E-02 2.84809E-02 4.95424E-10 9.44937E-09 4.28973E-28 3.82544E-07 5.21701E-14
 4.43401E+22 2.00000E+01 1.01295E+04 8.37839E+02 6.42190E-03 1.77927E+02 2.59447E-01 5.35055E-02 3.29524E-02 7.47920E-10 1.19104E-08 7.67997E-28 4.53758E-07 7.26454E-14
 5.27748E+22 2.00000E+01 9.93290E+03 8.54426E+02 6.91966E-03 1.59555E+02 2.63716E-01 5.11876E-02 3.80954E-02 1.15156E-09 1.50921E-08 1.43166E-27 5.46959E-07 1.04586E-13
 6.28141E+22 2.00000E+01 9.72151E+03 8.70457E+02 7.52198E-03 1.41811E+02 2.67801E-01 4.79647E-02 4.37959E-02 1.80008E-09 1.91220E-08 2.76125E-27 6.69815E-07 1.55625E-13
 7.47631E+22 2.00000E+01 9.50006E+03 8.85578E+02 8.24187E-03 1.25090E+02 2.71621E-01 4.39663E-02 4.98612E-02 2.82860E-09 2.40982E-08 5.46041E-27 8.31484E-07 2.38315E-13
 8.89852E+22 2.00000E+01 9.26353E+03 8.99592E+02 9.13418E-03 1.09611E+02 2.75133E-01 3.94335E-02 5.60451E-02 4.46344E-09 3.01449E-08 1.10981E-26 1.04917E-06 3.77588E-13
