     200   number of z grid-points
           5          14   important heating & cooling processes
      32   number of CO lines
        N<H>       Tdust        Tgas           H          H2          e-           O          C+           C          CO          CH         CH4          OH         H2O
 4.40179E+19 3.00000E+00 7.92206E+03 3.07981E+05 8.24210E+00 8.90100E+03 9.27918E+01 5.71607E+00 2.25373E+01 3.33506E-04 2.13139E-05 1.38903E-21 2.29076E-02 8.60844E-08
 4.77315E+19 3.00000E+00 7.92107E+03 3.07982E+05 8.24764E+00 8.89965E+03 9.27920E+01 5.71548E+00 2.25380E+01 3.33686E-04 2.13286E-05 1.39270E-21 2.29169E-02 8.61912E-08
 5.17584E+19 3.00000E+00 7.92008E+03 3.07983E+05 8.25318E+00 8.89821E+03 9.27923E+01 5.71484E+00 2.25386E+01 3.33873E-04 2.13433E-05 1.39642E-21 2.29263E-02 8.62995E-08
 5.61251E+19 3.00000E+00 7.92107E+03 3.07984E+05 8.24759E+00 8.89734E+03 9.27925E+01 5.71431E+00 2.25392E+01 3.33845E-04 2.13306E-05 1.39348E-21 2.29212E-02 8.62270E-08
 6.08601E+19 3.00000E+00 7.92008E+03 3.07986E+05 8.25313E+00 8.89571E+03 9.27929E+01 5.71358E+00 2.25400E+01 3.34045E-04 2.13455E-05 1.39727E-21 2.29309E-02 8.63384E-08
 6.59947E+19 3.00000E+00 7.92107E+03 3.07987E+05 8.24754E+00 8.89463E+03 9.27931E+01 5.71294E+00 2.25407E+01 3.34031E-04 2.13330E-05 1.39440E-21 2.29262E-02 8.62691E-08
 7.15624E+19 3.00000E+00 7.92008E+03 3.07988E+05 8.25307E+00 8.89277E+03 9.27935E+01 5.71209E+00 2.25416E+01 3.34247E-04 2.13481E-05 1.39827E-21 2.29364E-02 8.63841E-08
 7.75998E+19 3.00000E+00 7.91909E+03 3.07990E+05 8.25860E+00 8.89078E+03 9.27939E+01 5.71117E+00 2.25426E+01 3.34472E-04 2.13633E-05 1.40219E-21 2.29469E-02 8.65012E-08
 8.41466E+19 3.00000E+00 7.92008E+03 3.07991E+05 8.25300E+00 8.88931E+03 9.27943E+01 5.71034E+00 2.25435E+01 3.34485E-04 2.13511E-05 1.39944E-21 2.29428E-02 8.64379E-08
 9.12457E+19 3.00000E+00 7.91909E+03 3.07993E+05 8.25852E+00 8.88704E+03 9.27948E+01 5.70927E+00 2.25446E+01 3.34730E-04 2.13666E-05 1.40347E-21 2.29538E-02 8.65597E-08
 9.89437E+19 3.00000E+00 7.91810E+03 3.07996E+05 8.26405E+00 8.88459E+03 9.27953E+01 5.70813E+00 2.25459E+01 3.34987E-04 2.13822E-05 1.40756E-21 2.29651E-02 8.66842E-08
 1.07291E+20 3.00000E+00 7.91909E+03 3.07997E+05 8.25844E+00 8.88263E+03 9.27957E+01 5.70704E+00 2.25470E+01 3.35034E-04 2.13704E-05 1.40497E-21 2.29620E-02 8.66284E-08
 1.16343E+20 3.00000E+00 7.91810E+03 3.08000E+05 8.26395E+00 8.87982E+03 9.27963E+01 5.70571E+00 2.25485E+01 3.35316E-04 2.13864E-05 1.40919E-21 2.29740E-02 8.67588E-08
 1.26158E+20 3.00000E+00 7.91711E+03 3.08003E+05 8.26947E+00 8.87680E+03 9.27970E+01 5.70427E+00 2.25500E+01 3.35613E-04 2.14026E-05 1.41350E-21 2.29864E-02 8.68927E-08
 1.36802E+20 3.00000E+00 7.91810E+03 3.08005E+05 8.26384E+00 8.87421E+03 9.27976E+01 5.70287E+00 2.25515E+01 3.35704E-04 2.13913E-05 1.41112E-21 2.29845E-02 8.68466E-08
 1.48343E+20 3.00000E+00 7.91711E+03 3.08008E+05 8.26935E+00 8.87072E+03 9.27983E+01 5.70119E+00 2.25533E+01 3.36034E-04 2.14079E-05 1.41559E-21 2.29977E-02 8.69881E-08
 1.60858E+20 3.00000E+00 7.91612E+03 3.08011E+05 8.27486E+00 8.86696E+03 9.27991E+01 5.69937E+00 2.25553E+01 3.36383E-04 2.14247E-05 1.42018E-21 2.30115E-02 8.71340E-08
 1.74429E+20 3.00000E+00 7.91513E+03 3.08015E+05 8.28037E+00 8.86292E+03 9.28000E+01 5.69742E+00 2.25574E+01 3.36753E-04 2.14419E-05 1.42488E-21 2.30259E-02 8.72847E-08
 1.89145E+20 3.00000E+00 7.91414E+03 3.08019E+05 8.28587E+00 8.85857E+03 9.28009E+01 5.69530E+00 2.25597E+01 3.37145E-04 2.14593E-05 1.42971E-21 2.30408E-02 8.74406E-08
 2.05103E+20 3.00000E+00 7.91513E+03 3.08023E+05 8.28020E+00 8.85453E+03 9.28018E+01 5.69316E+00 2.25620E+01 3.37337E-04 2.14492E-05 1.42779E-21 2.30416E-02 8.74171E-08
 2.22406E+20 3.00000E+00 7.91414E+03 3.08027E+05 8.28569E+00 8.84947E+03 9.28029E+01 5.69069E+00 2.25646E+01 3.37778E-04 2.14672E-05 1.43288E-21 2.30579E-02 8.75844E-08
 2.41170E+20 3.00000E+00 7.91315E+03 3.08032E+05 8.29118E+00 8.84402E+03 9.28041E+01 5.68801E+00 2.25675E+01 3.38248E-04 2.14856E-05 1.43812E-21 2.30749E-02 8.77584E-08
 2.61516E+20 3.00000E+00 7.91216E+03 3.08037E+05 8.29666E+00 8.83814E+03 9.28053E+01 5.68512E+00 2.25706E+01 3.38749E-04 2.15044E-05 1.44353E-21 2.30928E-02 8.79397E-08
 2.83579E+20 3.00000E+00 7.91117E+03 3.08043E+05 8.30214E+00 8.83179E+03 9.28067E+01 5.68199E+00 2.25740E+01 3.39284E-04 2.15236E-05 1.44913E-21 2.31115E-02 8.81287E-08
 3.07504E+20 3.00000E+00 7.91019E+03 3.08049E+05 8.30761E+00 8.82494E+03 9.28082E+01 5.67861E+00 2.25776E+01 3.39855E-04 2.15433E-05 1.45493E-21 2.31312E-02 8.83263E-08
 3.33447E+20 3.00000E+00 7.90920E+03 3.08056E+05 8.31308E+00 8.81755E+03 9.28098E+01 5.67495E+00 2.25815E+01 3.40465E-04 2.15635E-05 1.46095E-21 2.31520E-02 8.85332E-08
 3.61578E+20 3.00000E+00 7.90821E+03 3.08063E+05 8.31853E+00 8.80957E+03 9.28115E+01 5.67099E+00 2.25858E+01 3.41119E-04 2.15842E-05 1.46721E-21 2.31739E-02 8.87502E-08
 3.92083E+20 3.00000E+00 7.90524E+03 3.08071E+05 8.33524E+00 8.80031E+03 9.28135E+01 5.66655E+00 2.25906E+01 3.42046E-04 2.16335E-05 1.48084E-21 2.32121E-02 8.91668E-08
 4.25162E+20 3.00000E+00 7.90425E+03 3.08080E+05 8.34068E+00 8.79100E+03 9.28155E+01 5.66192E+00 2.25955E+01 3.42798E-04 2.16555E-05 1.48768E-21 2.32366E-02 8.94071E-08
 4.61031E+20 3.00000E+00 7.90327E+03 3.08089E+05 8.34612E+00 8.78095E+03 9.28177E+01 5.65691E+00 2.26009E+01 3.43605E-04 2.16782E-05 1.49482E-21 2.32626E-02 8.96604E-08
 4.99926E+20 3.00000E+00 7.90228E+03 3.08098E+05 8.35154E+00 8.77010E+03 9.28201E+01 5.65149E+00 2.26068E+01 3.44473E-04 2.17016E-05 1.50229E-21 2.32901E-02 8.99278E-08
 5.42103E+20 3.00000E+00 7.89931E+03 3.08109E+05 8.36827E+00 8.75772E+03 9.28227E+01 5.64546E+00 2.26132E+01 3.45636E-04 2.17540E-05 1.51744E-21 2.33345E-02 9.04022E-08
 5.87838E+20 3.00000E+00 7.89833E+03 3.08121E+05 8.37367E+00 8.74505E+03 9.28255E+01 5.63912E+00 2.26200E+01 3.46642E-04 2.17791E-05 1.52572E-21 2.33657E-02 9.07023E-08
 6.37431E+20 3.00000E+00 7.89537E+03 3.08134E+05 8.39040E+00 8.73072E+03 9.28285E+01 5.63209E+00 2.26276E+01 3.47957E-04 2.18336E-05 1.54187E-21 2.34140E-02 9.12142E-08
 6.91209E+20 3.00000E+00 7.89240E+03 3.08148E+05 8.40715E+00 8.71528E+03 9.28319E+01 5.62451E+00 2.26357E+01 3.49358E-04 2.18892E-05 1.55862E-21 2.34647E-02 9.17479E-08
 7.49523E+20 3.00000E+00 7.88944E+03 3.08162E+05 8.42392E+00 8.69866E+03 9.28354E+01 5.61632E+00 2.26445E+01 3.50855E-04 2.19460E-05 1.57604E-21 2.35178E-02 9.23055E-08
 8.12758E+20 3.00000E+00 7.88649E+03 3.08179E+05 8.44070E+00 8.68076E+03 9.28393E+01 5.60747E+00 2.26540E+01 3.52454E-04 2.20042E-05 1.59417E-21 2.35735E-02 9.28889E-08
 8.81327E+20 3.00000E+00 7.88353E+03 3.08196E+05 8.45749E+00 8.66147E+03 9.28435E+01 5.59791E+00 2.26643E+01 3.54166E-04 2.20638E-05 1.61309E-21 2.36322E-02 9.35006E-08
 9.55681E+20 3.00000E+00 7.88057E+03 3.08214E+05 8.47428E+00 8.64069E+03 9.28480E+01 5.58759E+00 2.26754E+01 3.56001E-04 2.21250E-05 1.63285E-21 2.36941E-02 9.41431E-08
 1.03631E+21 3.00000E+00 7.87762E+03 3.08235E+05 8.49109E+00 8.61830E+03 9.28528E+01 5.57644E+00 2.26873E+01 3.57970E-04 2.21878E-05 1.65354E-21 2.37594E-02 9.48193E-08
 1.12374E+21 3.00000E+00 7.87269E+03 3.08257E+05 8.51946E+00 8.59353E+03 9.28581E+01 5.56424E+00 2.27004E+01 3.60327E-04 2.22816E-05 1.68341E-21 2.38439E-02 9.57361E-08
 1.21854E+21 3.00000E+00 7.86777E+03 3.08281E+05 8.54791E+00 8.56690E+03 9.28639E+01 5.55108E+00 2.27145E+01 3.62847E-04 2.23777E-05 1.71468E-21 2.39327E-02 9.66970E-08
 1.32135E+21 3.00000E+00 7.86482E+03 3.08306E+05 8.56476E+00 8.53889E+03 9.28699E+01 5.53705E+00 2.27296E+01 3.65303E-04 2.24465E-05 1.73894E-21 2.40103E-02 9.74973E-08
 1.43282E+21 3.00000E+00 7.85794E+03 3.08334E+05 8.60501E+00 8.50745E+03 9.28767E+01 5.52157E+00 2.27462E+01 3.68443E-04 2.25770E-05 1.78188E-21 2.41243E-02 9.87676E-08
 1.55370E+21 3.00000E+00 7.85303E+03 3.08364E+05 8.63366E+00 8.47431E+03 9.28839E+01 5.50506E+00 2.27639E+01 3.71555E-04 2.26806E-05 1.81811E-21 2.42279E-02 9.98867E-08
 1.68478E+21 3.00000E+00 7.84616E+03 3.08396E+05 8.67420E+00 8.43804E+03 9.28917E+01 5.48708E+00 2.27831E+01 3.75154E-04 2.28173E-05 1.86546E-21 2.43534E-02 1.01286E-07
 1.82692E+21 3.00000E+00 7.83929E+03 3.08431E+05 8.71490E+00 8.39908E+03 9.29000E+01 5.46771E+00 2.28039E+01 3.79019E-04 2.29575E-05 1.91545E-21 2.44854E-02 1.02761E-07
 1.98105E+21 3.00000E+00 7.83243E+03 3.08469E+05 8.75577E+00 8.35725E+03 9.29091E+01 5.44685E+00 2.28262E+01 3.83174E-04 2.31016E-05 1.96835E-21 2.46246E-02 1.04318E-07
 2.14818E+21 3.00000E+00 7.82362E+03 3.08510E+05 8.80886E+00 8.31170E+03 9.29189E+01 5.42421E+00 2.28504E+01 3.87911E-04 2.32806E-05 2.03447E-21 2.47880E-02 1.06195E-07
 2.32942E+21 3.00000E+00 7.81482E+03 3.08553E+05 8.86226E+00 8.26286E+03 9.29294E+01 5.39985E+00 2.28765E+01 3.93007E-04 2.34646E-05 2.10480E-21 2.49601E-02 1.08180E-07
 2.52594E+21 3.00000E+00 7.80603E+03 3.08600E+05 8.91597E+00 8.21048E+03 9.29407E+01 5.37364E+00 2.29045E+01 3.98502E-04 2.36537E-05 2.17976E-21 2.51418E-02 1.10285E-07
