# AVeff	Tgas[K]	H (cm^-3)	H2(cm^-3)	C(cm^-3)	CO(cm^-3)	AV (perpendicular) for comparison
0.00009004027312757649	312.63611763732524	0.9898242319041747	0.005081758135710821	3.917580537069919e-8	9.508893402819429e-11	8.13136214470139e-6
0.00009041510537495466	312.6309483920309	0.9897435659753732	0.005122126737573381	3.916044248525186e-8	9.56752431959238e-11	8.168576928111035e-6
0.00009116426318954165	312.62116999238333	0.9895783326548405	0.0052048151297665116	3.912958065295693e-8	9.687123239667151e-11	8.24300650291618e-6
0.00009125786064863287	312.62000900927836	0.9895573028566486	0.005215339038617424	3.912570969374425e-8	9.702297358124081e-11	8.252310200518961e-6
0.00009144502418559217	312.61771144574294	0.9895149880091463	0.005236514510456593	3.911796041947007e-8	9.732796733269933e-11	8.270917596227915e-6
0.00009181922606447626	312.61326847209045	0.9894293204235163	0.005279384515391606	3.910242838519044e-8	9.794410494774081e-11	8.308132389664407e-6
0.00009256713165734718	312.6050194536716	0.9892537131848765	0.005367261025773814	3.907123116045997e-8	9.92015682250934e-11	8.382561984652177e-6
0.00009406097076131162	312.5912903178314	0.9888843829234294	0.005552073831085616	3.9008312091525286e-8	1.0182221620622023e-10	8.531421207413778e-6
0.00009704091995004663	312.57690128442437	0.9880639050402212	0.005962615896879967	3.8880461924028917e-8	1.0753081415262769e-10	8.82913978675366e-6
0.0001029710979688756	312.515034024771	0.986199358973621	0.006895471437063254	3.864979594721047e-8	1.1998964532638633e-10	9.424577484658061e-6
0.00011472105304576586	312.08234040298595	0.9817238956917183	0.009134193511178309	3.8338156395464594e-8	1.4738906102955887e-10	0.00001061545477224738
0.00013783400447653935	310.23098156079067	0.9676444703577652	0.01617540420496114	3.8235262222973207e-8	2.1776072970331022e-10	0.000012997215453393583
0.00018281586913773782	301.5514250619737	0.9063608519653028	0.04681866691452871	4.020057316636931e-8	4.0816218397248315e-10	0.000017760751256117725
0.0001883409695538631	298.4218392650103	0.8838185026201836	0.058090002445626655	4.106537128251898e-8	4.5366213135735995e-10	0.000018356194079980655
0.0001993340624460812	294.37741825924144	0.8552351805752288	0.07238179779668516	4.2157692058365964e-8	5.002683832043965e-10	0.00001954708010485453
0.00022110756501203494	286.93971821485115	0.8029153704263108	0.09854185129214765	4.415144766731465e-8	5.616101316837323e-10	0.000021928852825510004
0.00026390607132457657	273.5043310366651	0.7105328552843225	0.14473324494352047	4.765670910181127e-8	6.189655348591823e-10	0.0000266923996764482
0.0003470833561526854	255.83415564611278	0.5923444787231434	0.203827523496697	5.19143983758682e-8	6.33423732558335e-10	0.00003621949548818858
0.0005064186775826203	239.74944048042946	0.48350882931052264	0.2582454001918617	5.5199626478202566e-8	6.09556429987351e-10	0.000055273689600191794
0.0008069213188081376	226.47899716326856	0.3891920708314737	0.3054038141684803	5.74455922922902e-8	5.667473314187049e-10	0.00009338208088303749
0.001365321146342732	214.9021580017093	0.30349596039861054	0.3482518968496905	5.9228066907248295e-8	5.135835553272348e-10	0.0001695988680299506
0.0023891872036238145	204.99613083203172	0.22825380403744758	0.38587299757098603	6.072249776392814e-8	4.6029481892465123e-10	0.0003220324498022461
0.0042436943276360686	196.9926680901511	0.1667901297708188	0.41660485272971004	6.201360378465852e-8	4.1532918788665095e-10	0.0006268996254675264
0.007563399970073786	190.6726359198445	0.11957268085323731	0.44021359102215435	6.32965760916341e-8	3.837835215809004e-10	0.0012366339957529215
0.0134362713505589	185.23830691855085	0.08306020290854688	0.4584698406807944	6.491584599433244e-8	3.665019954481519e-10	0.002456102765236475
0.018849095197694572	182.19511850186413	0.06613258673714294	0.4669336536486052	6.622128930302308e-8	3.6425405611203507e-10	0.0037000220261324966
0.023896047484483544	180.07381343573942	0.05651752496185956	0.4717411872307411	6.737263454691582e-8	3.668986493380765e-10	0.004943941295731436
0.028679161466065268	178.34107210602372	0.050049509247766036	0.47497519683259176	6.846924585370977e-8	3.7137151654888904e-10	0.006187860570622485
0.03325736887415042	176.85683381783184	0.04529530571322573	0.4773522998363699	6.950516956958805e-8	3.7667145644121283e-10	0.007431779849105899
0.03766897935273528	175.4841800172658	0.0416015920363971	0.4791991575820788	7.054910299415613e-8	3.8246576418153226e-10	0.008675699130209257
0.04194083301902247	174.28751388416305	0.03861936215963105	0.48069027323631214	7.150135363179703e-8	3.884404490118556e-10	0.009919618413267224
0.04609273922545186	173.13559382633701	0.03614359620717789	0.48192815676668793	7.247150186449209e-8	3.946152262235877e-10	0.011163537697891333
0.05013989116137951	172.01431856659758	0.03404305950535992	0.4829784255504791	7.3461746816655e-8	4.009321079266264e-10	0.012407456983736038
0.05409429167652969	170.98957623847912	0.03223011564666613	0.483884897840934	7.43938407032486e-8	4.0726584202768056e-10	0.01365137627053711
0.05796564899757057	170.01413665277772	0.03064402790978264	0.4846779420056438	7.5297505248077e-8	4.1362114843653374e-10	0.014895295558141227
0.06176196739843917	169.0776615648602	0.029240384510792444	0.4853797639473418	7.621417081856449e-8	4.200523874850497e-10	0.016139214846414007
0.06548995225179846	168.13593576730412	0.027986313146674303	0.4860067998180814	7.715161106400522e-8	4.265412611019759e-10	0.017383134135218557
0.06915529689800418	167.19989178854675	0.02685596512689295	0.4865719739706666	7.811126363792209e-8	4.3308247423391224e-10	0.018627053424438232
0.07276289138959616	166.32202359154644	0.02583038708579432	0.4870847631143881	7.902860941467419e-8	4.3960639458256347e-10	0.019870972713972188
0.07631697793154515	165.5167309630885	0.024893999780943338	0.48755295687906425	7.988430771023548e-8	4.4608495833619087e-10	0.02111489200377492
0.07982126895406602	164.7138437954895	0.02403466906959649	0.4879826223188356	8.075638342560005e-8	4.526071129931916e-10	0.02235881129382457
0.08327903836969028	163.9123088685822	0.0232420430918048	0.4883789353668482	8.164544168548956e-8	4.591731856634848e-10	0.023602730584055515
0.08669319318909113	163.1112212692837	0.022507823353501513	0.4887460452726245	8.255208947199514e-8	4.657839537987032e-10	0.0248466498744088
0.09006633048784636	162.30982308784934	0.02182509978246558	0.48908740707432	8.347693869329694e-8	4.724405220097238e-10	0.026090569164831347
0.09340078327114762	161.50747207843895	0.02118807352209468	0.48940592020192264	8.442061074821336e-8	4.791442120052086e-10	0.02733448845527553
0.0966986578028526	160.70361931562016	0.020591822181109557	0.4897040458524751	8.538374048246503e-8	4.858964923812649e-10	0.02857840774569633
0.09996186428665611	159.9841932763766	0.02003175767739635	0.4899840780964599	8.62571938263185e-8	4.92567866986488e-10	0.029822327036052313
0.10319214230888468	159.30566923502118	0.01950466630033522	0.4902476237766422	8.709271440544445e-8	4.992195685963999e-10	0.031066246326374582
0.10639108210868914	158.62605261291398	0.01900747241455148	0.49049622069817045	8.794296894418731e-8	5.059150754477572e-10	0.032310165616663326
0.10956014249322761	157.94505578982915	0.018537359246305424	0.49073127724873317	8.880837756232297e-8	5.12655754006173e-10	0.03355408490688745
0.1127006660304161	157.2624081527843	0.018091948609035673	0.4909539825222711	8.968937249865199e-8	5.194429581419935e-10	0.03479800419701763
0.11581389201430771	156.57786866165	0.017669143250471094	0.49116538514548674	9.058639630408169e-8	5.262780783744935e-10	0.03604192348702607
0.11890096759447409	155.89122083707923	0.017267103760139277	0.49136640482409394	9.149990363241065e-8	5.3316254240172e-10	0.03728584277688626
0.12196295738127329	155.20226980337674	0.016884180639590914	0.49155786630773063	9.24303628195937e-8	5.400978253683539e-10	0.03852976206657282
0.12500085177762027	154.51083809799493	0.01651892771652236	0.4917404926828911	9.337825429914808e-8	5.470854333955648e-10	0.0397736813560613
0.12801557424018453	153.81676410423918	0.016170018011470777	0.4919149474396081	9.434407574845861e-8	5.541269170963292e-10	0.04101760064532806
0.13100798763547922	153.1198988460903	0.015836290907873214	0.49208181088640335	9.53283389613975e-8	5.612238446837675e-10	0.042261519934350116
0.13397889982665367	152.42301758463168	0.015516673426322404	0.4922416195142443	9.632732331531259e-8	5.683725106086936e-10	0.04350543922310506
0.13692906860316767	151.8523998838697	0.01520952581795101	0.4923951932443109	9.71546648736015e-8	5.753404360297269e-10	0.04474935851157356
0.13985920604677324	151.28001531447416	0.01491487442150094	0.492542518861206	9.799507442193493e-8	5.823578589179111e-10	0.04599327779985212
0.14276998241056268	150.70580562621274	0.014631703019912831	0.4926841044737503	9.884886203362553e-8	5.894261857989163e-10	0.04723719708792338
0.14566202957805177	150.12968085429546	0.014359301058391174	0.4928203053594936	9.971634925632793e-8	5.965466953905817e-10	0.048481116375770454
0.14853594415631832	149.55155838628875	0.014097009192569988	0.4929514511907525	1.0059786706072983e-7	6.037206630198447e-10	0.0497250356633768
0.151392290250195	148.97136015092724	0.013844238993681084	0.49307783618201606	1.0149375526118194e-7	6.109493406922322e-10	0.050968954950726175
0.15423160195727134	148.38901376889783	0.013600424689822881	0.4931997432193329	1.0240436434517812e-7	6.182339779895743e-10	0.052212874237802596
0.1570543856176984	147.80444916179852	0.013365076196057524	0.49331741734523904	1.0333005235814517e-7	6.255757965084303e-10	0.05345679352459027
0.159861121847954	147.21760265751178	0.013137717565385152	0.4934310965332934	1.0427119207155273e-7	6.329760191535916e-10	0.054700712811073575
0.16265226738368732	146.62841196713916	0.012917924000601946	0.4935409931821389	1.0522816333960378e-7	6.404358599231909e-10	0.05594463209723702
0.16542825675335154	146.03681875314842	0.012705298985467723	0.4936473055499207	1.062013600254748e-7	6.47956530391563e-10	0.05718855138306521
0.16818950380145073	145.4427668987988	0.012499473537267759	0.49375021812801057	1.0719118714461435e-7	6.555392482813386e-10	0.058432470668542784
0.17093640307778185	144.84620282018457	0.012300105642405051	0.4938499019232075	1.0819806280825803e-7	6.631852348278237e-10	0.05967638995365441
0.17366933110696706	144.24707513213454	0.012106878503087035	0.49394651533439726	1.0922241742813695e-7	6.708957178027705e-10	0.060920309238384734
