# NH             T_dust     hc_photo     hc_h2vib     hc_h2form    hc_gasgrain  hc_OI        hc_CII       hc_CO        hc_CI
  2.5899e-06  1.2365e-05    
  9.4964e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4852e-30  -9.8430e-25
  9.8535e+14     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4854e-30  -9.8430e-25
  1.0224e+15     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4857e-30  -9.8430e-25
  1.0609e+15     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4859e-30  -9.8430e-25
  1.1008e+15     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4862e-30  -9.8430e-25
  1.1421e+15     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4864e-30  -9.8430e-25
  1.1851e+15     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4867e-30  -9.8430e-25
  1.2297e+15     122.2975   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4870e-30  -9.8430e-25
  1.2759e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4872e-30  -9.8430e-25
  1.3239e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4875e-30  -9.8431e-25
  1.3737e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4877e-30  -9.8431e-25
  1.4253e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4880e-30  -9.8431e-25
  1.4789e+15     122.2974   6.7378e-17   2.9533e-18   1.3453e-18  -1.7453e-17  -4.0530e-17  -2.7148e-19  -2.4882e-30  -9.8431e-25
