! N_H(cm-2)    T_gas(K)     X(H)        X(H2)       X(C)        X(CO)
 7.65899E+20 4.11924E+01 8.08671E-04 4.99596E-01 5.36948E-05 2.87129E-05
 9.40078E+20 3.86179E+01 2.03209E-04 4.99898E-01 3.16375E-05 6.35350E-05
 1.20134E+21 3.54500E+01 8.76052E-05 4.99956E-01 2.35580E-05 7.45141E-05
 1.46261E+21 3.29574E+01 3.98881E-05 4.99980E-01 1.77519E-05 8.15340E-05
 1.72388E+21 3.07045E+01 2.29587E-05 4.99989E-01 1.43370E-05 8.53720E-05
 1.98515E+21 2.84856E+01 1.59832E-05 4.99992E-01 1.17873E-05 8.80859E-05
 2.22017E+21 2.65940E+01 1.29140E-05 4.99994E-01 9.66004E-06 9.02781E-05
 2.57270E+21 2.42047E+01 1.07377E-05 4.99995E-01 6.62137E-06 9.33537E-05
 2.92522E+21 2.22664E+01 9.63896E-06 4.99995E-01 3.55588E-06 9.64328E-05
 3.27774E+21 2.07443E+01 9.09383E-06 4.99995E-01 1.56739E-06 9.84255E-05
 3.55528E+21 1.96098E+01 8.89365E-06 4.99996E-01 7.83115E-07 9.92110E-05
 3.76340E+21 1.82310E+01 8.95733E-06 4.99995E-01 4.60641E-07 9.95340E-05
 4.07564E+21 1.64506E+01 9.14014E-06 4.99995E-01 2.11615E-07 9.97835E-05
 4.38785E+21 1.49727E+01 9.40440E-06 4.99995E-01 9.87659E-08 9.98966E-05
 4.70006E+21 1.38029E+01 9.70683E-06 4.99995E-01 4.67287E-08 9.99490E-05
 4.98765E+21 1.29672E+01 9.98939E-06 4.99995E-01 2.37523E-08 9.99723E-05
 5.41905E+21 1.20048E+01 1.03935E-05 4.99994E-01 9.09073E-09 9.99875E-05
 5.85046E+21 1.13600E+01 1.06872E-05 4.99994E-01 3.94285E-09 9.99932E-05
 7.31306E+21 1.05058E+01 1.08780E-05 4.99993E-01 4.26457E-10 9.99976E-05
 8.77567E+21 1.04134E+01 1.00824E-05 4.99994E-01 1.48509E-10 9.99974E-05
 1.02383E+22 1.04440E+01 9.52168E-06 4.99994E-01 1.25674E-10 9.99969E-05
 1.17009E+22 1.04847E+01 9.39382E-06 4.99994E-01 1.23186E-10 9.99968E-05
 1.31635E+22 1.05155E+01 9.36347E-06 4.99994E-01 1.22925E-10 9.99967E-05
 1.46261E+22 1.05463E+01 9.34741E-06 4.99994E-01 1.22968E-10 9.99967E-05
 1.75513E+22 1.05978E+01 9.32440E-06 4.99994E-01 1.23116E-10 9.99967E-05
 2.04766E+22 1.06392E+01 9.30635E-06 4.99994E-01 1.23242E-10 9.99967E-05
 2.34018E+22 1.06703E+01 9.29283E-06 4.99994E-01 1.23337E-10 9.99967E-05
 2.63270E+22 1.06912E+01 9.28383E-06 4.99994E-01 1.23400E-10 9.99967E-05
 2.92522E+22 1.07121E+01 9.27484E-06 4.99994E-01 1.23464E-10 9.99967E-05
 3.21773E+22 1.07330E+01 9.26586E-06 4.99994E-01 1.23528E-10 9.99967E-05
