# AV             Temperature    H              H2             C              CO
  0.1096507E-02  0.1562494E+03  0.9995054E+03  0.2313303E+00  0.6139508E-04  0.2978354E-07
  0.1148183E-02  0.1562420E+03  0.9994934E+03  0.2373617E+00  0.6139734E-04  0.2982323E-07
  0.1202295E-02  0.1562343E+03  0.9994797E+03  0.2442090E+00  0.6139842E-04  0.2986858E-07
  0.1258958E-02  0.1562262E+03  0.9994641E+03  0.2520512E+00  0.6139798E-04  0.2992098E-07
  0.1318291E-02  0.1562177E+03  0.9994460E+03  0.2611266E+00  0.6139550E-04  0.2998234E-07
  0.1380420E-02  0.1562088E+03  0.9994248E+03  0.2717609E+00  0.6139031E-04  0.3005535E-07
  0.1445478E-02  0.1561995E+03  0.9994036E+03  0.2823819E+00  0.6138619E-04  0.3013095E-07
  0.1513601E-02  0.1561898E+03  0.9993853E+03  0.2915525E+00  0.6138650E-04  0.3019966E-07
  0.1584935E-02  0.1553214E+03  0.9993653E+03  0.3015936E+00  0.6154699E-04  0.3032563E-07
  0.1659630E-02  0.1553108E+03  0.9993406E+03  0.3140083E+00  0.6154225E-04  0.3042038E-07
  0.1737846E-02  0.1552997E+03  0.9993111E+03  0.3287970E+00  0.6153332E-04  0.3053566E-07
  0.1819748E-02  0.1544301E+03  0.9992796E+03  0.3445965E+00  0.6168640E-04  0.3070937E-07
  0.1905510E-02  0.1544180E+03  0.9992390E+03  0.3649894E+00  0.6166812E-04  0.3087639E-07
  0.1995315E-02  0.1544053E+03  0.9992044E+03  0.3823347E+00  0.6165833E-04  0.3102685E-07
  0.2089350E-02  0.1543920E+03  0.9991623E+03  0.4034253E+00  0.6164182E-04  0.3121510E-07
  0.2187819E-02  0.1543781E+03  0.9991098E+03  0.4297228E+00  0.6161562E-04  0.3145844E-07
  0.2290926E-02  0.1543636E+03  0.9990487E+03  0.4603542E+00  0.6158207E-04  0.3175571E-07
  0.2398896E-02  0.1543483E+03  0.9989924E+03  0.4885926E+00  0.6155612E-04  0.3204603E-07
  0.2511952E-02  0.1543324E+03  0.9989207E+03  0.5245269E+00  0.6151589E-04  0.3243170E-07
  0.2630338E-02  0.1543156E+03  0.9988256E+03  0.5721798E+00  0.6145354E-04  0.3297177E-07
  0.2754300E-02  0.1542981E+03  0.9987303E+03  0.6199138E+00  0.6139469E-04  0.3355032E-07
  0.2884106E-02  0.1542798E+03  0.9986187E+03  0.6758444E+00  0.6132254E-04  0.3427133E-07
  0.3020030E-02  0.1542606E+03  0.9984619E+03  0.7544285E+00  0.6120871E-04  0.3535696E-07
  0.3162361E-02  0.1542405E+03  0.9983051E+03  0.8330157E+00  0.6110133E-04  0.3653212E-07
  0.3311398E-02  0.1542195E+03  0.9980913E+03  0.9401190E+00  0.6094507E-04  0.3826137E-07
  0.3467459E-02  0.1541975E+03  0.9978121E+03  0.1080035E+01  0.6073702E-04  0.4073169E-07
  0.3630874E-02  0.1533179E+03  0.9974873E+03  0.1242760E+01  0.6068460E-04  0.4378653E-07
  0.3801993E-02  0.1524375E+03  0.9970109E+03  0.1481413E+01  0.6052786E-04  0.4868306E-07
  0.3981175E-02  0.1524125E+03  0.9964076E+03  0.1783600E+01  0.6011855E-04  0.5569817E-07
  0.4168802E-02  0.1523864E+03  0.9954986E+03  0.2238832E+01  0.5953585E-04  0.6742385E-07
  0.4365273E-02  0.1506471E+03  0.9943742E+03  0.2801805E+01  0.5929284E-04  0.8240688E-07
  0.4571002E-02  0.1506188E+03  0.9924368E+03  0.3771669E+01  0.5834819E-04  0.1116032E-06
  0.4786426E-02  0.1488778E+03  0.9890867E+03  0.5448161E+01  0.5751965E-04  0.1626528E-06
  0.5012003E-02  0.1488471E+03  0.9839549E+03  0.8015695E+01  0.5623328E-04  0.2426000E-06
  0.5248211E-02  0.1471044E+03  0.9757523E+03  0.1211852E+02  0.5547196E-04  0.3571240E-06
  0.5495552E-02  0.1462161E+03  0.9641216E+03  0.1793519E+02  0.5487883E-04  0.5002590E-06
  0.5754549E-02  0.1453266E+03  0.9493292E+03  0.2533227E+02  0.5472169E-04  0.6530207E-06
  0.6025753E-02  0.1452906E+03  0.9302111E+03  0.3489204E+02  0.5469891E-04  0.8172155E-06
  0.6309736E-02  0.1461073E+03  0.9103520E+03  0.4482209E+02  0.5476629E-04  0.9584011E-06
  0.6607105E-02  0.1469217E+03  0.8889691E+03  0.5551385E+02  0.5501352E-04  0.1082413E-05
  0.6918488E-02  0.1468799E+03  0.8679958E+03  0.6600071E+02  0.5555408E-04  0.1179541E-05
  0.7244547E-02  0.1468361E+03  0.8466659E+03  0.7666586E+02  0.5616608E-04  0.1260615E-05
  0.7585975E-02  0.1484971E+03  0.8269620E+03  0.8651795E+02  0.5642772E-04  0.1327772E-05
  0.7943491E-02  0.1484486E+03  0.8083313E+03  0.9583337E+02  0.5709312E-04  0.1376736E-05
  0.8317857E-02  0.1492506E+03  0.7868318E+03  0.1065832E+03  0.5763727E-04  0.1425322E-05
  0.8709864E-02  0.1491971E+03  0.7708319E+03  0.1145832E+03  0.5832648E-04  0.1454186E-05
  0.9120346E-02  0.1499934E+03  0.7530295E+03  0.1234845E+03  0.5883350E-04  0.1482956E-05
  0.9550176E-02  0.1499344E+03  0.7339026E+03  0.1330480E+03  0.5960908E-04  0.1505615E-05
