     NH               Temp.Gaz         Ab..h            Ab..h2           Ab..c            Ab..co        
   7.15014541E+21  8.55262672E+000  5.60749738E+000  1.57996993E+005  4.92354383E-004  3.15436546E+001
   7.24622315E+21  8.55873147E+000  5.55903100E+000  1.57997026E+005  4.06056985E-004  3.15459254E+001
   7.34206903E+21  8.56445823E+000  5.50964867E+000  1.57997060E+005  3.41222527E-004  3.15492409E+001
   7.43791491E+21  8.56969391E+000  5.46086902E+000  1.57997094E+005  2.92656565E-004  3.15534113E+001
   7.53376080E+21  8.57428936E+000  5.41448949E+000  1.57997127E+005  2.56494319E-004  3.15580156E+001
   7.62960669E+21  8.57812509E+000  5.37195690E+000  1.57997156E+005  2.29623601E-004  3.15625109E+001
   7.72545259E+21  8.58117478E+000  5.33378216E+000  1.57997183E+005  2.09473228E-004  3.15664526E+001
   7.82129849E+21  8.58351497E+000  5.29947165E+000  1.57997207E+005  1.93994742E-004  3.15696470E+001
   7.91714439E+21  8.58527382E+000  5.26799673E+000  1.57997229E+005  1.81691669E-004  3.15721169E+001
   8.01299030E+21  8.58657739E+000  5.23829362E+000  1.57997250E+005  1.71556286E-004  3.15739834E+001
   8.10883622E+21  8.58752606E+000  5.20950202E+000  1.57997269E+005  1.62939822E-004  3.15753800E+001
   8.20468213E+21  8.58819346E+000  5.18100146E+000  1.57997288E+005  1.55428892E-004  3.15764196E+001
   8.30052805E+21  8.58863305E+000  5.15237154E+000  1.57997307E+005  1.48757275E-004  3.15771882E+001
   8.39637397E+21  8.58888503E+000  5.12334301E+000  1.57997325E+005  1.42750006E-004  3.15777496E+001
   8.49221990E+21  8.58898159E+000  5.09375945E+000  1.57997344E+005  1.37289277E-004  3.15781506E+001
   8.58806582E+21  8.58851327E+000  5.06508591E+000  1.57997362E+005  1.32285245E-004  3.15784263E+001
   8.68391175E+21  8.58880831E+000  5.03283509E+000  1.57997381E+005  1.27705076E-004  3.15786022E+001
   8.77975768E+21  8.58864352E+000  5.00685722E+000  1.57997398E+005  1.23481371E-004  3.15787019E+001
   8.87560361E+21  8.58837532E+000  4.97528172E+000  1.57997417E+005  1.19588615E-004  3.15787353E+001
   8.97144955E+21  8.58807386E+000  4.94306308E+000  1.57997436E+005  1.16001006E-004  3.15787178E+001
   9.06729548E+21  8.58776267E+000  4.91066743E+000  1.57997455E+005  1.12696466E-004  3.15786597E+001
   9.16314142E+21  8.58746268E+000  4.87830416E+000  1.57997474E+005  1.09655641E-004  3.15785697E+001
   9.25898736E+21  8.58719309E+000  4.84617732E+000  1.57997492E+005  1.06860988E-004  3.15784551E+001
   9.35483330E+21  8.58697111E+000  4.81449271E+000  1.57997511E+005  1.04296200E-004  3.15783221E+001
   9.44838164E+21  8.58681429E+000  4.78413920E+000  1.57997528E+005  1.01999814E-004  3.15781795E+001
   9.54192998E+21  8.58625090E+000  4.75049144E+000  1.57997547E+005  9.98896906E-005  3.15780249E+001
   9.63547832E+21  8.58666754E+000  4.72062850E+000  1.57997564E+005  9.79654488E-005  3.15778696E+001
   9.72902666E+21  8.58675271E+000  4.69306529E+000  1.57997579E+005  9.62022683E-005  3.15777124E+001
   9.82257501E+21  8.58692055E+000  4.66678462E+000  1.57997594E+005  9.45921108E-005  3.15775561E+001
   9.91612335E+21  8.58718071E+000  4.64178174E+000  1.57997608E+005  9.31235515E-005  3.15774026E+001
   1.00096717E+22  8.58753342E+000  4.61811030E+000  1.57997621E+005  9.17857367E-005  3.15772537E+001
   1.01032200E+22  8.58797715E+000  4.59580533E+000  1.57997634E+005  9.05683966E-005  3.15771104E+001
   1.01967684E+22  8.58850897E+000  4.57488010E+000  1.57997646E+005  8.94618513E-005  3.15769738E+001
   1.02903167E+22  8.58912487E+000  4.55532829E+000  1.57997656E+005  8.84570103E-005  3.15768442E+001
   1.03838651E+22  8.58982000E+000  4.53712691E+000  1.57997667E+005  8.75453670E-005  3.15767223E+001
   1.04774134E+22  8.59058891E+000  4.52023918E+000  1.57997676E+005  8.67189871E-005  3.15766080E+001
   1.05709618E+22  8.59142578E+000  4.50461743E+000  1.57997685E+005  8.59704935E-005  3.15765014E+001
   1.06645101E+22  8.59232456E+000  4.49020581E+000  1.57997692E+005  8.52930465E-005  3.15764024E+001
   1.07580585E+22  8.59327916E+000  4.47694265E+000  1.57997700E+005  8.46803218E-005  3.15763106E+001
   1.08516068E+22  8.59428355E+000  4.46476262E+000  1.57997707E+005  8.41264866E-005  3.15762260E+001
   1.09451552E+22  8.59533184E+000  4.45359843E+000  1.57997713E+005  8.36261731E-005  3.15761480E+001
   1.10387035E+22  8.59641836E+000  4.44338240E+000  1.57997718E+005  8.31744526E-005  3.15760764E+001
   1.11322519E+22  8.59753770E+000  4.43404757E+000  1.57997723E+005  8.27668080E-005  3.15760107E+001
   1.12258002E+22  8.59868477E+000  4.42552863E+000  1.57997728E+005  8.23991071E-005  3.15759505E+001
   1.13193486E+22  8.60007377E+000  4.41772679E+000  1.57997732E+005  8.20678148E-005  3.15758956E+001
   1.14128969E+22  8.60154270E+000  4.41059658E+000  1.57997736E+005  8.17693189E-005  3.15758455E+001
   1.15064453E+22  8.60301873E+000  4.40409976E+000  1.57997740E+005  8.15004113E-005  3.15757998E+001
   1.15999937E+22  8.60449705E+000  4.39818687E+000  1.57997743E+005  8.12582410E-005  3.15757582E+001
   1.16935420E+22  8.60597445E+000  4.39280802E+000  1.57997746E+005  8.10402190E-005  3.15757203E+001
   1.17870904E+22  8.60744803E+000  4.38791647E+000  1.57997749E+005  8.08439958E-005  3.15756859E+001
   1.18806387E+22  8.60891519E+000  4.38346892E+000  1.57997751E+005  8.06674416E-005  3.15756546E+001
   1.19741871E+22  8.61037356E+000  4.37942537E+000  1.57997753E+005  8.05086270E-005  3.15756262E+001
   1.20677354E+22  8.61182102E+000  4.37574899E+000  1.57997755E+005  8.03658057E-005  3.15756004E+001
   1.21612838E+22  8.61325568E+000  4.37240603E+000  1.57997757E+005  8.02373984E-005  3.15755770E+001
   1.22548321E+22  8.61467586E+000  4.36936554E+000  1.57997759E+005  8.01219774E-005  3.15755558E+001
   1.23483805E+22  8.61608006E+000  4.36659928E+000  1.57997760E+005  8.00182530E-005  3.15755366E+001
   1.24419288E+22  8.61746697E+000  4.36408149E+000  1.57997762E+005  7.99250610E-005  3.15755192E+001
   1.25354772E+22  8.61883543E+000  4.36178873E+000  1.57997763E+005  7.98413504E-005  3.15755035E+001
   1.26290255E+22  8.62018443E+000  4.35969970E+000  1.57997764E+005  7.97661733E-005  3.15754892E+001
   1.27225739E+22  8.62151309E+000  4.35779504E+000  1.57997765E+005  7.96986749E-005  3.15754763E+001
   1.28161222E+22  8.62282065E+000  4.35605722E+000  1.57997766E+005  7.96380847E-005  3.15754646E+001
   1.29096706E+22  8.62410648E+000  4.35447035E+000  1.57997767E+005  7.95837083E-005  3.15754540E+001
   1.30032190E+22  8.62537000E+000  4.35302006E+000  1.57997768E+005  7.95349201E-005  3.15754445E+001
   1.30967673E+22  8.62661077E+000  4.35169335E+000  1.57997768E+005  7.94911567E-005  3.15754359E+001
   1.31919012E+22  8.62784845E+000  4.35046103E+000  1.57997769E+005  7.94512816E-005  3.15754279E+001
   1.32870351E+22  8.62906225E+000  4.34933098E+000  1.57997770E+005  7.94155988E-005  3.15754208E+001
   1.33821691E+22  8.63025152E+000  4.34829524E+000  1.57997770E+005  7.93836767E-005  3.15754143E+001
   1.34773030E+22  8.63141607E+000  4.34734491E+000  1.57997771E+005  7.93551281E-005  3.15754085E+001
   1.35724369E+22  8.63255573E+000  4.34647184E+000  1.57997771E+005  7.93296049E-005  3.15754033E+001
   1.36675708E+22  8.63367040E+000  4.34566869E+000  1.57997772E+005  7.93067946E-005  3.15753986E+001
   1.37627047E+22  8.63476002E+000  4.34492888E+000  1.57997772E+005  7.92864165E-005  3.15753943E+001
   1.38578387E+22  8.63582455E+000  4.34424646E+000  1.57997772E+005  7.92682188E-005  3.15753905E+001
   1.39529726E+22  8.63686401E+000  4.34361608E+000  1.57997773E+005  7.92519751E-005  3.15753870E+001
   1.40481065E+22  8.63787841E+000  4.34303296E+000  1.57997773E+005  7.92374826E-005  3.15753839E+001
   1.41432404E+22  8.63886781E+000  4.34249277E+000  1.57997773E+005  7.92245589E-005  3.15753811E+001
   1.42383743E+22  8.63983228E+000  4.34199162E+000  1.57997773E+005  7.92130404E-005  3.15753786E+001
   1.43335083E+22  8.64077192E+000  4.34152603E+000  1.57997774E+005  7.92027804E-005  3.15753763E+001
   1.44286422E+22  8.64168682E+000  4.34109287E+000  1.57997774E+005  7.91936471E-005  3.15753743E+001
   1.45237761E+22  8.64257711E+000  4.34068930E+000  1.57997774E+005  7.91855224E-005  3.15753725E+001
   1.46189100E+22  8.64344291E+000  4.34031281E+000  1.57997774E+005  7.91783001E-005  3.15753708E+001
   1.47140439E+22  8.64428435E+000  4.33996109E+000  1.57997774E+005  7.91718852E-005  3.15753694E+001
   1.48091779E+22  8.64510159E+000  4.33963212E+000  1.57997775E+005  7.91661922E-005  3.15753680E+001
   1.49043118E+22  8.64589476E+000  4.33932404E+000  1.57997775E+005  7.91611446E-005  3.15753669E+001
   1.49994457E+22  8.64666402E+000  4.33903520E+000  1.57997775E+005  7.91566736E-005  3.15753658E+001
   1.50945796E+22  8.64740952E+000  4.33876410E+000  1.57997775E+005  7.91527176E-005  3.15753648E+001
   1.51897135E+22  8.64813142E+000  4.33850941E+000  1.57997775E+005  7.91492214E-005  3.15753640E+001
   1.52848475E+22  8.64882987E+000  4.33826992E+000  1.57997775E+005  7.91461353E-005  3.15753632E+001
